deal_id,deal_date,customer_id,broker_id,property_id,offer_price,final_price,mortgage,loan_rate,status,close_date,channel,lead_source,notes_freeform,price_band
DEAL300022,2024-03-22,CUST101624,BRK50084,PROP200234,13574688,14064063,Yes,7.93,Closed,2024-04-17,Cold Call,Billboard,na,High
DEAL300023,2025-07-28,CUST101819,BRK50316,PROP200262,10256122,10727033,Yes,7.61,Cancelled,,Online Portal,Instagram,urgent,High
DEAL300024,2023-03-31,CUST100576,BRK50002,PROP200094,12714423,13212404,Yes,8.48,Cancelled,,Cold Call,Broker Referral,N/A,High
DEAL300025,2018-05-03,CUST102385,BRK50168,PROP202051,13580653,14424571,Yes,,Cancelled,,Social Media,Broker Referral,,High
DEAL300026,2020-05-28,CUST102392,BRK50367,PROP200205,9659749,9286869,Yes,9.91,Closed,2020-08-22,Walk-in,Facebook,??,High
DEAL300027,2023-01-31,CUST101517,BRK50130,PROP202717,9027573,9176795,No,,Pending,,Cold Call,Newspaper,see email,High
DEAL300028,2024-01-30,CUST102661,BRK50426,PROP202834,12305925,11741340,Yes,,Pending,,Referral,Website,urgent,High
DEAL300029,2023-10-10,CUST100636,BRK50185,PROP206609,16810565,17334777,Yes,7.18,Closed,2023-12-08,Referral,Newspaper,,Luxury
DEAL300030,2020-05-12,CUST103898,BRK50387,PROP202146,6577029,6294568,No,11.17,Closed,2020-06-28,Cold Call,Broker Referral,urgent,Mid
DEAL300031,2019-07-17,CUST102517,BRK50294,PROP207856,8673408,8831631,Yes,8.56,Cancelled,,Cold Call,Google Ads,N/A,High
DEAL300032,2020-01-03,CUST100230,BRK50171,PROP207117,6615414,7035800,No,,Closed,2020-02-03,Online Portal,Facebook,urgent,Mid
DEAL300033,2025-08-07,CUST104766,BRK50443,PROP203309,10727928,11366878,Yes,7.89,Closed,2025-10-14,Email Campaign,Google Ads,ok,High
DEAL300034,2025-03-19,CUST101782,BRK50196,PROP205245,10490524,11169075,Yes,7.33,Closed,2025-06-13,Cold Call,Instagram,na,High
DEAL300035,2019-06-24,CUST100517,BRK50116,PROP204485,9067769,9533073,No,9.96,Closed,2019-07-13,Online Portal,Facebook,urgent,High
DEAL300036,2018-05-06,CUST101984,BRK50176,PROP202204,4886590,4892455,Yes,,Closed,2018-07-24,Referral,Broker Referral,??,Mid
DEAL300037,2024-05-14,CUST104425,BRK50321,PROP205482,4355314,4250879,No,8.62,Closed,2024-07-27,Cold Call,Instagram,??,Mid
DEAL300038,2020-01-17,CUST100514,BRK50124,PROP203116,13065446,12830894,Yes,,Closed,2020-01-31,Referral,Facebook,na,High
DEAL300039,2022-05-03,CUST104174,BRK50137,PROP202770,1522744,1488377,Yes,9.47,Closed,2022-06-04,Email Campaign,Instagram,,Low
DEAL300040,2021-09-16,CUST102565,BRK50423,PROP205658,8863543,9392642,Yes,,Pending,,Social Media,Newspaper,urgent,High
DEAL300041,2020-07-25,CUST102919,BRK50297,PROP200680,7010743,7178452,Yes,,Closed,2020-09-25,Email Campaign,Instagram,??,Mid
DEAL300042,2023-11-20,CUST101922,BRK50477,PROP205491,7538870,7297106,Yes,9.99,Closed,2023-12-07,Cold Call,Website,??,Mid
DEAL300043,2021-04-04,CUST104829,BRK50420,PROP204255,11981017,11610637,No,,Closed,2021-04-29,Social Media,Website,??,High
DEAL300044,2022-04-24,CUST102321,BRK50042,PROP207157,11363217,11232738,No,10.14,Closed,2022-07-20,Cold Call,Facebook,,High
DEAL300045,2022-11-05,CUST103521,BRK50070,PROP200736,5291756,5427587,Yes,9.47,Closed,2022-11-25,Online Portal,Website,,Mid
DEAL300046,2021-08-02,CUST104780,BRK50463,PROP206432,12421641,13304398,Yes,11.44,Closed,2021-10-14,Email Campaign,Google Ads,client wants quick close,High
DEAL300047,2022-04-12,CUST100751,BRK50428,PROP207178,10637826,10212089,Yes,8.02,Cancelled,,Walk-in,Google Ads,N/A,High
DEAL300048,2018-09-26,CUST104774,BRK50283,PROP207549,12156487,11694571,Yes,8.59,Closed,2018-10-18,Online Portal,Instagram,see email,High
DEAL300049,2021-11-27,CUST103080,BRK50197,PROP205100,1368880,1422030,No,8.29,Closed,2022-02-11,Walk-in,Instagram,,Low
DEAL300050,2023-06-17,CUST101007,BRK50022,PROP201246,11311633,11020428,Yes,7.76,Closed,2023-09-03,Cold Call,Facebook,urgent,High
DEAL300051,2018-11-18,CUST100089,BRK50207,PROP201408,6611325,6852025,Yes,10.69,Pending,,Referral,Website,client wants quick close,Mid
DEAL300052,2023-09-21,CUST100366,BRK50305,PROP207665,10482641,,Yes,7.94,Closed,2023-12-11,Referral,Facebook,??,
DEAL300053,2020-08-08,CUST101786,BRK50331,PROP206759,12132853,12704874,Yes,8.29,Closed,2020-09-08,Online Portal,Google Ads,see email,High
DEAL300054,2023-06-09,CUST104877,BRK50245,PROP201494,11176233,11923456,Yes,9.8,Closed,2023-07-19,Referral,Newspaper,??,High
DEAL300055,2019-12-30,CUST104445,BRK50266,PROP205821,12119064,12071093,Yes,7.26,Closed,2020-03-08,Social Media,Facebook,,High
DEAL300056,2021-11-15,CUST101214,BRK50483,PROP201570,5479572,5796852,Yes,11.44,Pending,,Online Portal,Website,client wants quick close,Mid
DEAL300057,2021-05-23,CUST104881,BRK50182,PROP201724,10934130,10582084,Yes,8.83,Closed,2021-08-20,Walk-in,Website,see email,High
DEAL300058,2020-02-21,CUST103036,BRK50077,PROP207976,16736852,16230119,Yes,8.84,Cancelled,,Online Portal,Google Ads,client wants quick close,Luxury
DEAL300059,2019-08-21,CUST102799,BRK50047,PROP201470,7575990,7245856,Yes,,Closed,2019-10-18,Online Portal,Instagram,client wants quick close,Mid
DEAL300060,2025-01-31,CUST104499,BRK50388,PROP206803,11515738,12248757,Yes,8.45,Cancelled,,Email Campaign,Facebook,ok,High
DEAL300061,2019-03-07,CUST103653,BRK50234,PROP200204,5705666,5450090,Yes,11.48,Closed,2019-05-08,Referral,Facebook,client wants quick close,Mid
DEAL300062,2024-07-22,CUST101143,BRK50485,PROP206109,11082554,10831597,Yes,10.65,Cancelled,,Online Portal,Billboard,client wants quick close,High
DEAL300063,2020-10-26,CUST102437,BRK50010,PROP206507,4964158,4858303,Yes,,Cancelled,,Walk-in,Newspaper,??,Mid
DEAL300064,2020-06-08,CUST103702,BRK50415,PROP206544,12515963,12249046,Yes,8.09,Closed,2020-07-13,Walk-in,Google Ads,ok,High
DEAL300065,2020-06-27,CUST103057,BRK50476,PROP202637,10380107,,Yes,7.56,Pending,,Referral,Facebook,na,
DEAL300066,2022-01-01,CUST103526,BRK50027,PROP205397,1659569,1717406,Yes,9.83,Closed,2022-02-24,Social Media,Instagram,,Low
DEAL300067,2019-12-31,CUST101456,BRK50070,PROP204818,13696245,14019257,Yes,10.39,Closed,2020-01-11,Email Campaign,Facebook,??,High
DEAL300068,2023-05-09,CUST102113,BRK50249,PROP201250,12472182,11868697,Yes,9.82,Closed,2023-05-22,Social Media,Broker Referral,ok,High
DEAL300069,2024-07-14,CUST103389,BRK50221,PROP205341,9496039,9501925,Yes,7.79,Closed,2024-09-09,Social Media,Website,see email,High
DEAL300070,2021-04-20,CUST100438,BRK50234,PROP200386,6560290,6679183,Yes,7.45,Closed,2021-05-21,Social Media,Google Ads,??,Mid
DEAL300071,2023-03-07,CUST103083,BRK50117,PROP206571,12513804,13009160,Yes,7.4,Pending,,Cold Call,Instagram,client wants quick close,High
DEAL300072,2019-05-11,CUST103432,BRK50029,PROP205916,9626792,10369446,No,11.49,Cancelled,,Cold Call,Newspaper,client wants quick close,High
DEAL300073,2019-02-03,CUST102947,BRK50098,PROP202989,7277541,7462065,No,10.5,Cancelled,,Email Campaign,Billboard,see email,Mid
DEAL300074,2024-03-01,CUST104672,BRK50003,PROP201166,11461110,12313727,No,10.78,Closed,2024-04-20,Walk-in,Instagram,client wants quick close,High
DEAL300075,2018-05-26,CUST104908,BRK50311,PROP206260,9863600,9592691,No,11.32,Cancelled,,Walk-in,Newspaper,ok,High
DEAL300076,2021-04-11,CUST101185,BRK50219,PROP204202,14019599,13447146,No,9.74,Closed,2021-05-01,Cold Call,Facebook,N/A,High
DEAL300077,2018-12-20,CUST100985,BRK50069,PROP205197,11642141,11827273,No,8.73,Cancelled,,Walk-in,Billboard,client wants quick close,High
DEAL300078,2022-11-11,CUST102730,BRK50116,PROP204526,7721772,7774692,Yes,7.16,Closed,2022-12-07,Online Portal,Newspaper,??,Mid
DEAL300079,2018-05-09,CUST103453,BRK50159,PROP205919,4582289,4459447,No,9.16,Pending,,Referral,Google Ads,urgent,Mid
DEAL300080,2025-05-03,CUST102106,BRK50087,PROP205736,11531882,11878450,No,7.21,Closed,2025-06-05,Referral,Newspaper,,High
DEAL300081,2024-11-04,CUST104380,BRK50059,PROP203258,4901288,5254950,No,9.38,Closed,2025-02-01,Walk-in,Website,ok,Mid
DEAL300082,2019-11-29,CUST102288,BRK50196,PROP204062,8758491,9019154,No,7.14,Pending,,Online Portal,Billboard,,High
DEAL300083,2024-05-15,CUST101019,BRK50052,PROP205448,5411769,5366844,Yes,10.54,Closed,2024-07-21,Online Portal,Website,urgent,Mid
DEAL300084,2020-08-07,CUST102592,BRK50337,PROP204771,8844292,8427774,Yes,8.16,Closed,2020-09-20,Walk-in,Google Ads,client wants quick close,High
DEAL300085,2018-08-21,CUST100414,BRK50436,PROP202590,6292080,6152633,No,8.0,Pending,,Referral,Facebook,ok,Mid
DEAL300086,2018-01-12,CUST101852,BRK50428,PROP206896,11474013,10919337,Yes,9.58,Closed,2018-01-24,Cold Call,Google Ads,,High
DEAL300087,2022-12-13,CUST103357,BRK50096,PROP200635,7965345,8495993,No,10.17,Cancelled,,Referral,Facebook,N/A,High
DEAL300088,2018-12-26,CUST103471,BRK50236,PROP200141,16035104,15560711,Yes,8.24,Closed,2019-03-14,Online Portal,Billboard,na,Luxury
DEAL300089,2023-06-05,CUST102428,BRK50395,PROP200593,10109545,9950838,No,8.17,Closed,2023-08-20,Walk-in,Facebook,na,High
DEAL300090,2018-08-18,CUST103270,BRK50276,PROP200341,9810557,10189338,No,10.65,Closed,2018-09-01,Online Portal,Instagram,??,High
DEAL300091,2022-06-09,CUST100924,BRK50394,PROP200068,4757624,4532513,Yes,9.7,Pending,,Email Campaign,Billboard,see email,Mid
DEAL300092,2025-08-02,CUST102061,BRK50485,PROP203889,1549617,1653302,Yes,9.72,Cancelled,,Referral,Newspaper,na,Low
DEAL300093,2019-07-17,CUST104715,BRK50199,PROP204142,3406787,3516297,Yes,7.41,Closed,2019-09-28,Referral,Broker Referral,N/A,Mid
DEAL300094,2019-05-22,CUST100647,BRK50260,PROP205195,7305031,7801538,Yes,7.49,Pending,,Online Portal,Instagram,??,Mid
DEAL300095,2020-05-24,CUST100181,BRK50056,PROP204614,12805460,13662507,No,,Closed,2020-07-29,Email Campaign,Website,,High
DEAL300096,2021-05-09,CUST102096,BRK50419,PROP201588,9013596,9037717,Yes,7.48,Closed,2021-06-21,Walk-in,Billboard,na,High
DEAL300097,2024-09-16,CUST104125,BRK50226,PROP205555,9489354,9552659,No,8.68,Pending,,Email Campaign,Facebook,,High
DEAL300098,2022-07-28,CUST102446,BRK50176,PROP204307,7013922,7257372,Yes,9.99,Closed,2022-08-29,Referral,Facebook,ok,Mid
DEAL300099,2024-02-14,CUST104340,BRK50345,PROP203933,5340554,5468654,Yes,10.64,Pending,,Walk-in,Broker Referral,urgent,Mid
DEAL300100,2018-05-12,CUST101904,BRK50255,PROP207390,9024138,8752957,Yes,9.16,Closed,2018-05-29,Online Portal,Facebook,na,High
DEAL300101,2025-08-01,CUST100790,BRK50309,PROP207386,1872847,1798993,Yes,7.59,Cancelled,,Referral,Facebook,na,Low
DEAL300102,2025-02-15,CUST103757,BRK50392,PROP203032,13441501,13060473,Yes,9.99,Closed,2025-05-12,Cold Call,Broker Referral,client wants quick close,High
DEAL300103,2025-01-16,CUST101572,BRK50060,PROP204527,13842661,13612168,Yes,8.57,Closed,2025-03-18,Email Campaign,Broker Referral,see email,High
DEAL300104,2018-12-27,CUST102040,BRK50356,PROP204907,12358254,12902693,Yes,8.38,Closed,2019-01-17,Social Media,Instagram,urgent,High
DEAL300105,2018-04-27,CUST103882,BRK50224,PROP201932,8183489,8548228,Yes,9.69,Pending,,Online Portal,Broker Referral,na,High
DEAL300106,2022-05-30,CUST101649,BRK50262,PROP204979,7479663,7730560,Yes,10.58,Closed,2022-08-05,Online Portal,Facebook,??,Mid
DEAL300107,2019-12-15,CUST100809,BRK50357,PROP203595,14066815,13389842,Yes,9.64,Closed,2020-02-28,Social Media,Billboard,ok,High
DEAL300108,2019-08-09,CUST100164,BRK50052,PROP206360,4790387,5146797,No,11.09,Closed,2019-09-30,Referral,Newspaper,client wants quick close,Mid
DEAL300109,2023-05-14,CUST104594,BRK50343,PROP201416,9162269,9346555,Yes,10.18,Pending,,Online Portal,Website,,High
DEAL300110,2023-03-29,CUST103035,BRK50498,PROP203225,4814007,5182449,No,9.04,Closed,2023-04-09,Walk-in,Instagram,??,Mid
DEAL300111,2020-09-26,CUST100287,BRK50498,PROP201876,13248109,13770956,No,9.13,Closed,2020-10-29,Walk-in,Instagram,urgent,High
DEAL300112,2019-08-22,CUST100536,BRK50363,PROP204732,5020820,5253411,Yes,8.11,Closed,2019-10-12,Referral,Billboard,,Mid
DEAL300113,2019-08-21,CUST100832,BRK50302,PROP203138,7486391,7560030,No,,Closed,2019-10-25,Online Portal,Broker Referral,na,Mid
DEAL300114,2019-12-30,CUST101853,BRK50003,PROP205472,11000275,10531999,Yes,11.05,Closed,2020-01-13,Cold Call,Instagram,see email,High
DEAL300115,2021-05-02,CUST102063,BRK50213,PROP205083,10682611,11082801,Yes,7.85,Closed,2021-07-22,Walk-in,Website,??,High
DEAL300116,2023-02-16,CUST102216,BRK50140,PROP203322,9755987,,Yes,10.61,Pending,,Cold Call,Website,N/A,
DEAL300117,2019-03-15,CUST104957,BRK50062,PROP207733,4080944,4256991,No,10.57,Closed,2019-04-24,Email Campaign,Google Ads,N/A,Mid
DEAL300118,2019-05-06,CUST100955,BRK50211,PROP200955,14799134,14709831,Yes,7.69,Closed,2019-07-04,Social Media,Instagram,client wants quick close,High
DEAL300119,2022-08-24,CUST100154,BRK50093,PROP206885,8878065,8662949,Yes,10.95,Pending,,Online Portal,Newspaper,ok,High
DEAL300120,2021-03-07,CUST102133,BRK50330,PROP204569,5584138,5586131,Yes,,Closed,2021-04-30,Cold Call,Website,ok,Mid
DEAL300121,2019-11-14,CUST100044,BRK50384,PROP206983,4232652,4548137,Yes,8.19,Closed,2020-01-02,Cold Call,Newspaper,ok,Mid
DEAL300122,2018-04-01,CUST103461,BRK50452,PROP202062,12677370,13059741,Yes,11.1,Cancelled,,Walk-in,Broker Referral,ok,High
DEAL300123,2020-12-21,CUST101844,BRK50306,PROP204347,9554056,10235040,Yes,,Closed,2021-02-08,Online Portal,Facebook,??,High
DEAL300124,2023-09-20,CUST103183,BRK50142,PROP207149,11732312,11334160,Yes,11.25,Pending,,Email Campaign,Newspaper,N/A,High
DEAL300125,2024-04-30,CUST102625,BRK50255,PROP204115,9490475,9340831,No,,Closed,2024-05-22,Online Portal,Billboard,client wants quick close,High
DEAL300126,2018-12-08,CUST102037,BRK50323,PROP200247,8708593,8833704,Yes,11.0,Closed,2019-01-31,Online Portal,Website,??,High
DEAL300127,2021-03-11,CUST103659,BRK50163,PROP200880,7805525,8206791,Yes,11.5,Closed,2021-05-11,Walk-in,Instagram,N/A,High
DEAL300128,2020-07-05,CUST102788,BRK50021,PROP206777,12496230,12115908,Yes,,Closed,2020-09-14,Social Media,Newspaper,see email,High
DEAL300129,2020-01-06,CUST100594,BRK50047,PROP207743,9227762,9330120,Yes,,Closed,2020-03-11,Walk-in,Billboard,na,High
DEAL300130,2023-08-20,CUST100766,BRK50061,PROP207179,6950586,6633021,Yes,10.17,Cancelled,,Referral,Billboard,client wants quick close,Mid
DEAL300131,2022-04-21,CUST102313,BRK50269,PROP201747,10063809,10792210,Yes,8.76,Closed,2022-06-15,Cold Call,Newspaper,ok,High
DEAL300132,2024-07-02,CUST101344,BRK50260,PROP206431,7429738,7608318,Yes,7.74,Pending,,Referral,Instagram,na,Mid
DEAL300133,2022-01-26,CUST102959,BRK50438,PROP203985,10046289,9748766,Yes,10.16,Closed,2022-04-13,Online Portal,Newspaper,,High
DEAL300134,2025-01-21,CUST102371,BRK50477,PROP206117,10333768,10688660,No,10.11,Closed,2025-03-31,Referral,Instagram,client wants quick close,High
DEAL300135,2024-02-13,CUST101543,BRK50457,PROP200960,6289493,6408742,Yes,9.46,Closed,2024-05-05,Social Media,Facebook,ok,Mid
DEAL300136,2019-12-03,CUST100538,BRK50300,PROP204247,6439378,6858207,Yes,9.87,Cancelled,,Cold Call,Instagram,,Mid
DEAL300137,2022-08-19,CUST104510,BRK50052,PROP203519,8806482,8875822,Yes,10.47,Closed,2022-09-08,Cold Call,Instagram,??,High
DEAL300138,2019-05-27,CUST101656,BRK50203,PROP203869,8485565,8319320,Yes,7.57,Closed,2019-07-06,Referral,Newspaper,client wants quick close,High
DEAL300139,2022-09-16,CUST101854,BRK50365,PROP206959,12657991,13114838,No,8.2,Pending,,Referral,Website,client wants quick close,High
DEAL300140,2021-08-23,CUST100976,BRK50187,PROP200079,11543739,11942419,Yes,11.07,Closed,2021-09-25,Cold Call,Billboard,urgent,High
DEAL300141,2023-12-12,CUST104758,BRK50330,PROP207457,12743077,13209061,Yes,8.36,Closed,2024-02-12,Email Campaign,Instagram,N/A,High
DEAL300142,2023-04-20,CUST103119,BRK50202,PROP206305,8833219,9303463,Yes,,Closed,2023-06-30,Online Portal,Broker Referral,??,High
DEAL300143,2019-12-03,CUST103953,BRK50316,PROP202065,8499794,8768650,Yes,8.26,Closed,2019-12-30,Social Media,Facebook,,High
DEAL300144,2025-08-18,CUST103505,BRK50218,PROP201404,12781642,12642984,Yes,8.86,Closed,2025-10-06,Email Campaign,Billboard,??,High
DEAL300145,2024-07-01,CUST100313,BRK50261,PROP202870,8466452,8181318,No,,Closed,2024-07-26,Email Campaign,Broker Referral,see email,High
DEAL300146,2020-04-14,CUST101920,BRK50311,PROP202763,6930018,6994910,Yes,9.19,Cancelled,,Referral,Broker Referral,,Mid
DEAL300147,2019-08-29,CUST104258,BRK50129,PROP203596,13267136,13834466,Yes,7.08,Closed,2019-11-25,Online Portal,Billboard,,High
DEAL300148,2024-05-10,CUST103792,BRK50318,PROP205929,9247484,9441389,Yes,10.92,Closed,2024-08-02,Email Campaign,Broker Referral,see email,High
DEAL300149,2019-08-10,CUST102762,BRK50097,PROP201534,9911298,9850290,Yes,11.24,Closed,2019-10-09,Cold Call,Broker Referral,client wants quick close,High
DEAL300150,2020-01-28,CUST100852,BRK50100,PROP207391,5798282,6173096,No,11.19,Closed,2020-03-06,Walk-in,Broker Referral,see email,Mid
DEAL300151,2025-02-10,CUST103822,BRK50274,PROP207679,5655297,6024968,Yes,8.53,Closed,2025-04-04,Email Campaign,Website,na,Mid
DEAL300152,2021-09-27,CUST104811,BRK50437,PROP204877,7464376,7234102,No,,Pending,,Online Portal,Broker Referral,client wants quick close,Mid
DEAL300153,2021-02-11,CUST101937,BRK50032,PROP200185,13424130,13201754,Yes,10.36,Closed,2021-03-15,Walk-in,Instagram,ok,High
DEAL300154,2024-07-26,CUST104082,BRK50040,PROP201286,8844740,8725888,Yes,11.09,Closed,2024-10-14,Referral,Billboard,,High
DEAL300155,2022-12-28,CUST102623,BRK50236,PROP201279,12753875,13210318,Yes,10.47,Closed,2023-02-06,Referral,Facebook,ok,High
DEAL300156,2023-09-03,CUST104519,BRK50485,PROP201549,8319693,8348194,No,11.34,Closed,2023-11-20,Cold Call,Newspaper,??,High
DEAL300157,2024-10-06,CUST102511,BRK50066,PROP203090,8746266,8837231,Yes,10.33,Pending,,Cold Call,Facebook,na,High
DEAL300158,2023-10-30,CUST100447,BRK50013,PROP206389,15081798,15939578,Yes,7.0,Closed,2024-01-11,Referral,Broker Referral,see email,Luxury
DEAL300159,2024-04-02,CUST103793,BRK50241,PROP200925,4994526,5026964,No,10.37,Closed,2024-05-08,Walk-in,Newspaper,see email,Mid
DEAL300160,2019-12-10,CUST103549,BRK50042,PROP200776,6572948,6331867,Yes,9.28,Closed,2020-03-07,Social Media,Newspaper,ok,Mid
DEAL300161,2021-07-14,CUST101224,BRK50304,PROP203769,13145733,13683243,No,10.56,Closed,2021-09-21,Social Media,Billboard,??,High
DEAL300162,2022-01-30,CUST104021,BRK50262,PROP200330,9096376,8965103,Yes,7.75,Closed,2022-04-03,Walk-in,Billboard,urgent,High
DEAL300163,2018-01-31,CUST103333,BRK50361,PROP207595,3516301,3380338,Yes,,Closed,2018-04-30,Social Media,Instagram,client wants quick close,Mid
DEAL300164,2018-07-23,CUST101733,BRK50241,PROP201595,5983298,6199578,No,9.19,Cancelled,,Social Media,Newspaper,ok,Mid
DEAL300165,2019-11-14,CUST102212,BRK50267,PROP203748,5070065,5030646,No,,Closed,2020-01-23,Online Portal,Broker Referral,client wants quick close,Mid
DEAL300166,2019-06-18,CUST100252,BRK50300,PROP203708,6383556,6398006,No,7.48,Closed,2019-08-21,Online Portal,Website,,Mid
DEAL300167,2025-03-01,CUST102238,BRK50108,PROP204071,15754029,16726318,No,8.15,Closed,2025-03-29,Online Portal,Instagram,,Luxury
DEAL300168,2024-09-07,CUST100753,BRK50402,PROP207964,6683198,7077860,Yes,8.55,Closed,2024-11-04,Social Media,Facebook,na,Mid
DEAL300169,2023-12-31,CUST103838,BRK50116,PROP207053,8192147,8159966,Yes,8.11,Cancelled,,Cold Call,Instagram,see email,High
DEAL300170,2019-04-23,CUST104040,BRK50448,PROP207891,8279898,,Yes,7.36,Closed,2019-07-03,Referral,Facebook,,
DEAL300171,2019-09-20,CUST101250,BRK50250,PROP202191,12482811,12155099,No,,Closed,2019-11-01,Walk-in,Google Ads,see email,High
DEAL300172,2018-05-17,CUST102742,BRK50389,PROP200639,9424931,9663682,Yes,7.73,Cancelled,,Social Media,Broker Referral,client wants quick close,High
DEAL300173,2020-08-27,CUST103054,BRK50189,PROP207284,9952216,9580785,Yes,,Closed,2020-09-10,Referral,Facebook,client wants quick close,High
DEAL300174,2025-05-02,CUST104718,BRK50037,PROP207568,4710766,4870933,No,10.21,Pending,,Walk-in,Billboard,ok,Mid
DEAL300175,2020-11-30,CUST101371,BRK50107,PROP203344,5245508,5183423,Yes,9.83,Closed,2020-12-20,Email Campaign,Instagram,see email,Mid
DEAL300176,2022-08-24,CUST102866,BRK50217,PROP203489,13847189,14088312,Yes,8.39,Closed,2022-09-18,Cold Call,Website,na,High
DEAL300177,2018-09-29,CUST104842,BRK50152,PROP206970,12142885,11595073,Yes,10.88,Pending,,Social Media,Instagram,N/A,High
DEAL300178,2019-02-18,CUST101555,BRK50189,PROP202826,9883459,9507473,No,7.19,Pending,,Email Campaign,Google Ads,??,High
DEAL300179,2024-05-27,CUST100539,BRK50133,PROP205415,14503382,14487666,Yes,8.43,Closed,2024-07-15,Cold Call,Instagram,ok,High
DEAL300180,2021-02-05,CUST104725,BRK50215,PROP206030,7158886,7697532,Yes,,Closed,2021-03-14,Referral,Broker Referral,na,Mid
DEAL300181,2019-01-26,CUST101831,BRK50188,PROP206143,9943736,9566081,Yes,11.13,Pending,,Cold Call,Website,urgent,High
DEAL300182,2020-10-08,CUST100707,BRK50227,PROP202092,5051505,5246456,No,-1.0,Closed,2020-11-29,Cold Call,Facebook,??,Mid
DEAL300183,2021-11-13,CUST101290,BRK50108,PROP205763,2514473,2641113,No,9.46,Closed,2021-12-10,Referral,Google Ads,urgent,Low
DEAL300184,2023-12-17,CUST102982,BRK50291,PROP207190,14221900,15338549,Yes,11.47,Closed,2024-01-29,Cold Call,Facebook,ok,Luxury
DEAL300185,2019-08-22,CUST101860,BRK50146,PROP207102,5200427,5145874,Yes,8.02,Closed,2019-10-28,Online Portal,Billboard,N/A,Mid
DEAL300186,2023-07-17,CUST100320,BRK50476,PROP207764,6819451,7015893,Yes,11.01,Cancelled,,Email Campaign,Website,client wants quick close,Mid
DEAL300187,2022-04-30,CUST101637,BRK50292,PROP207272,7051687,7391630,Yes,,Closed,2022-05-15,Walk-in,Facebook,??,Mid
DEAL300188,2019-04-15,CUST103460,BRK50310,PROP202240,11468743,11302184,Yes,11.15,Closed,2019-05-01,Online Portal,Website,urgent,High
