property_id,age_years,condition,hoa_fee,energy_rating,school_score,walk_score,amenity_CCTV,amenity_Club House,amenity_Garden,amenity_Gym,amenity_Intercom,amenity_Lift,amenity_Parking,amenity_Play Area,amenity_Pool,amenity_Power Backup,amenity_Security,amenity_Wifi
PROP200026,22.0,Old,2480.0,A,56.0,47.0,1,0,0,0,1,0,0,0,0,1,0,0
PROP200027,12.0,New,2445.0,F,77.0,80.0,0,1,0,1,0,0,1,1,0,0,0,0
PROP200028,,Needs Renovation,2480.0,F,99.0,91.0,0,0,1,1,0,1,0,1,1,0,0,0
PROP200029,1.0,New,840.0,C,99.0,37.0,0,0,0,1,1,0,0,0,0,1,0,0
PROP200030,0.0,Good,720.0,A,62.0,30.0,0,0,0,0,1,0,0,0,0,1,0,0
PROP200031,21.0,New,2480.0,C,85.0,58.0,0,0,1,1,0,0,0,0,1,1,1,0
PROP200032,27.0,New,3764.0,D,56.0,91.0,1,0,1,0,0,0,0,0,0,0,0,0
PROP200033,15.0,Needs Renovation,2480.0,A,82.0,48.0,0,0,0,1,0,1,0,0,0,1,1,0
PROP200034,10.0,Needs Renovation,3694.0,C,60.0,71.0,1,0,1,0,0,0,0,0,0,0,0,0
PROP200035,28.0,Needs Renovation,0.0,D,58.0,99.0,0,0,1,1,0,1,1,0,0,0,0,0
PROP200036,14.0,Old,2107.0,B,42.0,84.0,0,0,1,0,0,0,0,0,0,1,0,0
PROP200037,38.0,Good,1678.0,E,51.0,49.0,0,0,0,0,0,1,0,1,1,0,0,1
PROP200038,27.0,Old,2480.0,D,56.0,42.0,1,0,0,0,0,0,0,0,0,0,1,0
PROP200039,22.0,Old,2319.0,B,65.0,58.0,0,0,0,0,0,0,1,1,0,1,1,1
PROP200040,4.0,New,2748.0,C,66.0,88.0,0,0,1,0,1,0,0,1,1,0,0,0
PROP200041,10.0,Good,1168.0,E,94.0,81.0,0,1,1,0,0,0,1,0,1,0,0,1
PROP200042,34.0,Old,2711.0,A,96.0,82.0,1,0,0,1,0,0,1,0,0,1,1,0
PROP200043,10.0,Needs Renovation,4486.0,D,47.0,81.0,0,0,1,0,0,1,0,1,0,0,0,0
PROP200044,33.0,Old,2657.0,D,73.0,43.0,0,1,0,0,0,0,1,1,0,1,0,0
PROP200045,32.0,New,2480.0,D,87.0,58.0,0,0,1,0,0,0,0,0,0,0,1,1
PROP200046,38.0,Old,4728.0,D,63.0,74.0,0,0,0,1,0,0,1,1,1,0,0,0
PROP200047,12.0,Needs Renovation,2042.0,B,99.0,36.0,0,1,0,0,0,1,1,1,0,0,0,1
PROP200048,7.0,Good,4032.0,C,60.0,92.0,0,0,1,0,0,0,0,0,1,0,0,0
PROP200049,27.0,New,4215.0,F,69.0,59.0,1,0,0,0,0,1,1,0,0,0,0,1
PROP200050,4.0,Old,3790.0,A,43.0,58.0,0,0,0,0,1,0,0,0,1,0,0,0
PROP200051,15.0,New,1543.0,A,66.0,81.0,0,0,1,0,0,0,0,0,1,0,1,0
PROP200052,18.0,New,3030.0,E,76.0,61.0,0,1,1,1,1,0,1,0,0,0,0,0
PROP200053,39.0,Good,1249.0,C,86.0,94.0,0,1,0,0,0,1,0,1,0,0,0,0
PROP200054,6.0,New,5377.0,A,76.0,46.0,0,0,0,1,0,0,0,1,0,0,0,0
PROP200055,39.0,New,1406.0,B,60.0,68.0,1,0,0,1,0,0,1,0,0,0,0,0
PROP200056,39.0,Good,1943.0,C,59.0,39.0,0,0,0,0,0,0,1,1,1,1,0,0
PROP200057,14.0,Needs Renovation,2726.0,B,67.0,76.0,0,0,0,0,0,1,0,0,1,0,0,0
PROP200058,,Good,218.0,F,92.0,88.0,1,0,0,0,1,0,0,1,0,1,0,0
PROP200059,2.0,Needs Renovation,3290.0,A,95.0,56.0,0,0,0,0,0,0,0,0,0,1,1,0
PROP200060,23.0,Needs Renovation,2290.0,C,66.0,44.0,0,1,0,0,1,0,1,0,0,1,1,0
PROP200061,14.0,Needs Renovation,3908.0,F,47.0,68.0,0,0,0,0,0,0,0,0,1,0,1,0
PROP200062,4.0,New,2351.0,B,62.0,46.0,1,0,0,0,0,1,0,0,0,0,0,1
PROP200063,15.0,Needs Renovation,2933.0,A,69.0,,1,0,0,0,0,0,0,1,0,0,0,0
PROP200064,4.0,Good,2480.0,A,51.0,37.0,0,0,0,1,0,0,0,0,0,1,1,1
PROP200065,37.0,New,1623.0,D,81.0,95.0,1,0,1,1,0,1,1,0,0,0,0,0
PROP200066,25.0,Old,4404.0,F,48.0,62.0,0,1,0,1,1,0,0,0,1,1,0,0
PROP200067,15.0,Old,677.0,A,69.0,85.0,0,0,1,0,0,0,0,0,0,1,0,0
PROP200068,34.0,Needs Renovation,1066.0,C,70.0,51.0,0,1,0,0,0,0,1,0,0,0,1,0
PROP200069,,Good,2480.0,E,75.0,43.0,0,0,1,0,1,0,1,1,1,0,0,0
PROP200070,24.0,Good,272.0,D,56.0,52.0,0,0,0,0,0,1,1,0,1,0,0,0
PROP200071,27.0,Needs Renovation,4013.0,B,60.0,89.0,0,1,0,1,0,0,1,0,0,0,0,0
PROP200072,8.0,Good,2952.0,F,,36.0,0,1,0,0,0,0,0,1,0,1,1,1
PROP200073,25.0,Good,2912.0,D,88.0,58.0,0,0,0,0,0,1,0,0,0,1,0,0
PROP200074,6.0,New,2480.0,B,52.0,48.0,0,1,0,0,1,0,0,0,1,1,0,0
PROP200075,21.0,New,3188.0,B,,43.0,0,1,0,0,1,1,0,0,0,1,0,0
PROP200076,10.0,Needs Renovation,1928.0,F,55.0,93.0,1,1,0,1,0,0,1,0,0,0,0,0
PROP200077,35.0,Good,607.0,C,66.0,66.0,0,0,0,0,0,1,0,0,1,0,0,0
PROP200078,37.0,Good,2112.0,B,41.0,67.0,1,0,0,0,0,1,0,1,0,0,0,0
PROP200079,5.0,Old,1507.0,C,84.0,,1,0,0,1,0,0,0,0,0,0,1,0
PROP200080,9.0,Needs Renovation,2482.0,C,61.0,83.0,0,1,0,0,1,0,0,0,1,0,0,0
PROP200081,,Needs Renovation,1380.0,F,82.0,51.0,0,0,0,1,1,1,0,0,0,1,1,0
PROP200082,,Good,1763.0,F,,94.0,0,1,1,0,1,0,0,0,0,0,1,1
PROP200083,20.0,Old,2672.0,A,50.0,92.0,0,0,1,0,0,1,0,0,0,1,1,0
PROP200084,22.0,Good,3539.0,C,73.0,79.0,0,0,0,1,1,0,0,0,0,0,0,1
PROP200085,0.0,Good,0.0,E,65.0,88.0,0,0,0,0,1,0,0,0,0,0,0,1
PROP200086,,Old,2137.0,F,87.0,35.0,0,1,1,0,0,0,0,0,1,1,0,0
PROP200087,4.0,New,2480.0,D,71.0,81.0,1,0,1,0,0,0,0,1,0,0,0,0
PROP200088,28.0,Good,2965.0,F,79.0,40.0,0,1,0,1,0,1,1,0,0,1,0,0
PROP200089,18.0,Needs Renovation,2242.0,B,50.0,67.0,0,0,1,0,0,0,0,0,0,1,0,1
PROP200090,33.0,Good,1124.0,B,88.0,52.0,1,0,0,0,0,1,0,0,1,0,1,0
PROP200091,11.0,Needs Renovation,2592.0,D,57.0,70.0,1,0,0,1,0,1,0,0,1,0,0,1
PROP200092,26.0,Old,3292.0,C,44.0,48.0,0,0,0,1,0,0,0,0,0,0,1,0
PROP200093,25.0,Good,3665.0,B,53.0,,1,0,1,0,0,1,0,0,0,0,0,0
PROP200094,18.0,New,1937.0,D,81.0,58.0,0,0,1,1,0,0,0,0,0,0,0,0
PROP200095,32.0,Needs Renovation,538.0,D,84.0,58.0,0,1,1,0,0,0,1,0,0,1,1,0
PROP200096,23.0,Good,2229.0,A,81.0,62.0,0,0,0,0,0,0,0,1,1,0,0,0
PROP200097,27.0,Old,2830.0,B,70.0,84.0,0,0,0,0,0,0,0,1,1,0,0,0
PROP200098,6.0,Good,2754.0,C,65.0,82.0,0,0,1,1,0,0,0,0,1,0,0,1
PROP200099,33.0,Good,1758.0,F,92.0,91.0,1,0,0,0,0,1,0,1,0,0,0,0
PROP200100,29.0,New,2802.0,B,96.0,88.0,0,0,0,0,1,1,1,0,1,0,0,1
PROP200101,31.0,Good,2480.0,C,48.0,86.0,0,1,1,0,1,0,0,0,0,1,1,0
PROP200102,24.0,New,3431.0,C,45.0,67.0,0,0,0,0,1,0,0,1,0,0,0,1
PROP200103,37.0,Needs Renovation,3823.0,E,47.0,57.0,0,0,0,0,1,0,0,0,1,0,0,1
PROP200104,30.0,New,2869.0,F,46.0,93.0,0,1,0,0,1,1,0,0,0,1,0,1
PROP200105,33.0,Good,1403.0,C,57.0,37.0,0,0,0,0,1,0,0,0,1,0,0,0
PROP200106,33.0,New,2199.0,B,59.0,82.0,0,0,0,0,1,0,1,1,0,1,1,0
PROP200107,36.0,New,2373.0,B,71.0,81.0,1,1,1,1,0,0,0,0,0,0,0,0
PROP200108,22.0,Old,4312.0,D,59.0,68.0,1,0,0,0,0,0,0,0,1,0,0,0
PROP200109,21.0,Good,2372.0,C,71.0,45.0,0,0,0,1,0,1,0,0,0,0,0,1
PROP200110,39.0,Good,2806.0,D,81.0,63.0,0,0,0,0,1,1,0,0,0,0,0,1
PROP200111,31.0,Old,2557.0,D,79.0,71.0,1,0,0,0,0,1,0,0,0,0,1,1
PROP200112,7.0,New,3397.0,C,54.0,35.0,1,0,0,1,0,0,1,1,1,0,0,0
PROP200113,38.0,Good,997.0,B,72.0,40.0,0,1,0,0,1,1,1,1,0,0,0,0
PROP200114,33.0,Good,2740.0,E,90.0,35.0,0,1,0,0,1,1,1,0,0,0,0,0
PROP200115,24.0,Needs Renovation,2406.0,E,57.0,74.0,0,0,0,1,0,1,0,0,1,0,0,1
PROP200116,24.0,Good,3791.0,F,96.0,79.0,0,0,0,1,1,1,0,1,0,1,0,0
PROP200117,,Good,3290.0,D,68.0,97.0,0,0,1,1,0,0,0,0,0,0,0,0
PROP200118,38.0,New,1984.0,F,43.0,34.0,0,1,1,0,0,0,0,1,0,0,0,1
PROP200119,23.0,Good,3954.0,B,95.0,45.0,1,0,1,1,1,0,0,0,0,0,0,0
PROP200120,37.0,Old,1904.0,B,59.0,35.0,1,1,0,1,0,1,0,0,0,0,0,0
PROP200121,,Old,2280.0,F,51.0,94.0,0,0,0,1,1,0,0,0,0,0,1,1
PROP200122,36.0,Good,3449.0,B,81.0,96.0,0,1,0,1,1,0,0,0,1,1,0,0
PROP200123,1.0,Needs Renovation,3183.0,C,71.0,46.0,0,0,1,0,1,1,1,0,0,0,0,0
PROP200124,7.0,Needs Renovation,1120.0,D,48.0,77.0,0,0,0,1,0,1,0,0,1,0,0,1
PROP200125,31.0,New,3467.0,D,60.0,44.0,0,1,0,0,1,0,0,0,0,1,0,0
PROP200126,1.0,Good,3700.0,D,96.0,55.0,1,0,0,1,0,0,1,0,0,0,0,0
PROP200127,38.0,Needs Renovation,3162.0,E,41.0,52.0,1,0,0,0,1,0,0,0,0,0,0,1
PROP200128,6.0,New,2694.0,E,73.0,47.0,0,0,1,0,0,0,1,0,1,1,0,1
PROP200129,33.0,Good,741.0,E,92.0,72.0,1,1,0,0,0,0,0,0,0,1,0,0
PROP200130,2.0,Needs Renovation,2600.0,C,44.0,81.0,0,0,0,1,0,1,0,0,0,0,0,0
PROP200131,23.0,Good,2805.0,E,89.0,64.0,1,0,0,1,0,1,1,1,0,0,0,0
PROP200132,10.0,Needs Renovation,1783.0,B,54.0,84.0,0,0,1,1,0,1,0,0,0,0,1,0
PROP200133,35.0,Good,2533.0,C,59.0,84.0,1,0,0,0,1,0,0,0,1,0,0,0
PROP200134,35.0,Needs Renovation,1244.0,A,94.0,58.0,0,1,1,1,0,0,0,0,1,0,0,0
PROP200135,36.0,Needs Renovation,3236.0,A,98.0,82.0,1,1,0,1,0,0,0,0,1,0,0,1
PROP200136,36.0,Old,2431.0,F,59.0,69.0,0,1,0,0,1,1,1,1,0,0,0,0
PROP200137,24.0,Old,4244.0,B,89.0,31.0,0,0,1,0,1,0,0,1,1,1,0,0
PROP200138,14.0,Old,3709.0,E,92.0,44.0,1,0,0,0,0,0,0,1,1,1,0,0
PROP200139,26.0,Needs Renovation,4176.0,F,44.0,69.0,0,0,0,1,0,1,0,0,1,0,1,0
PROP200140,34.0,New,1448.0,A,83.0,79.0,1,0,1,0,1,1,0,0,0,0,1,0
PROP200141,27.0,Old,2395.0,E,57.0,87.0,0,0,0,1,0,0,0,1,0,0,1,1
PROP200142,12.0,Good,1140.0,D,96.0,92.0,0,1,0,0,1,0,0,0,0,0,0,1
PROP200143,21.0,New,2534.0,F,,83.0,1,0,1,0,0,0,0,0,1,0,0,0
PROP200144,35.0,Old,1733.0,F,59.0,92.0,0,1,1,0,0,0,1,0,1,0,0,0
PROP200145,24.0,Needs Renovation,1395.0,F,,94.0,1,0,0,1,0,1,1,0,0,0,0,0
PROP200146,20.0,Good,2156.0,D,50.0,72.0,0,0,0,1,0,1,0,0,0,0,0,1
PROP200147,23.0,Needs Renovation,3801.0,B,78.0,52.0,1,0,0,0,1,0,0,0,0,0,0,0
PROP200148,17.0,Needs Renovation,3150.0,E,86.0,77.0,0,0,0,0,0,0,0,1,1,1,1,1
PROP200149,24.0,Old,4220.0,C,76.0,36.0,0,0,0,1,0,0,1,1,0,0,1,0
PROP200150,39.0,Needs Renovation,2264.0,D,80.0,50.0,0,1,0,1,0,0,0,0,1,0,1,0
PROP200151,11.0,New,3014.0,B,79.0,,0,1,0,1,1,1,0,0,1,0,0,0
PROP200152,13.0,New,1312.0,D,49.0,63.0,0,0,0,0,1,0,1,1,0,0,0,0
PROP200153,18.0,Good,2080.0,B,,79.0,0,0,0,0,0,1,0,0,0,0,0,1
PROP200154,9.0,New,1665.0,C,58.0,95.0,0,1,1,0,0,0,0,0,0,0,1,1
PROP200155,,Good,1223.0,A,72.0,92.0,0,1,1,0,0,0,0,0,0,0,0,1
PROP200156,33.0,Needs Renovation,2480.0,E,65.0,66.0,0,0,1,0,0,0,0,0,1,0,0,0
PROP200157,5.0,Old,1018.0,A,52.0,73.0,0,0,0,0,0,0,1,1,1,1,0,1
PROP200158,18.0,Good,4894.0,B,53.0,72.0,0,0,0,0,1,0,0,0,0,1,0,0
PROP200159,29.0,Needs Renovation,2251.0,C,48.0,56.0,0,0,0,0,0,0,1,1,0,1,0,0
PROP200160,28.0,New,2480.0,E,48.0,47.0,0,0,0,0,1,1,0,1,0,0,1,1
PROP200161,2.0,Needs Renovation,3017.0,C,46.0,92.0,1,0,0,1,0,1,0,0,1,0,1,0
PROP200162,,Old,2509.0,B,85.0,68.0,0,0,1,0,0,1,0,0,0,0,0,1
PROP200163,28.0,New,3660.0,A,91.0,73.0,0,1,0,1,0,0,1,0,0,0,0,1
PROP200164,,Good,1042.0,B,,60.0,1,0,1,1,0,0,1,0,0,1,0,0
PROP200165,26.0,New,3137.0,A,73.0,31.0,1,1,0,1,0,0,0,0,0,1,0,0
PROP200166,6.0,Old,3277.0,C,94.0,82.0,1,1,0,1,1,0,0,0,0,0,0,1
PROP200167,,Old,1761.0,E,53.0,38.0,0,0,0,0,0,1,0,1,1,0,0,0
PROP200168,15.0,Needs Renovation,536.0,D,91.0,43.0,0,1,0,1,1,0,1,0,1,0,0,0
PROP200169,17.0,New,753.0,B,79.0,66.0,0,0,1,0,0,0,0,1,0,1,0,0
PROP200170,9.0,New,4035.0,E,97.0,86.0,0,0,0,0,1,0,0,0,1,0,0,0
PROP200171,29.0,New,2832.0,C,58.0,90.0,1,1,0,1,0,0,0,0,0,1,0,0
PROP200172,4.0,Needs Renovation,3779.0,D,49.0,91.0,0,1,1,1,0,0,0,0,0,1,0,0
PROP200173,8.0,New,3647.0,B,57.0,75.0,0,1,0,0,1,1,0,0,1,0,1,0
PROP200174,32.0,Needs Renovation,1114.0,A,72.0,34.0,0,1,0,0,0,0,0,0,1,1,0,0
PROP200175,0.0,Good,1574.0,F,95.0,58.0,0,0,0,0,0,0,1,0,0,1,0,0
PROP200176,11.0,Old,1984.0,D,,95.0,0,0,1,0,0,0,0,0,1,0,0,0
PROP200177,26.0,Old,2786.0,A,,79.0,0,0,1,0,1,0,1,1,0,0,0,1
PROP200178,12.0,New,1809.0,C,67.0,37.0,0,0,0,0,0,0,1,1,0,0,0,0
PROP200179,11.0,Old,979.0,D,44.0,86.0,0,0,1,0,1,0,0,0,0,0,0,0
PROP200180,,Old,3397.0,E,57.0,79.0,1,0,1,0,1,0,0,0,0,0,0,0
PROP200181,5.0,Old,2504.0,E,66.0,30.0,0,0,0,0,0,1,0,0,0,0,0,1
PROP200182,38.0,Old,2936.0,C,60.0,42.0,0,1,0,1,0,1,0,1,0,0,0,0
PROP200183,,Needs Renovation,2604.0,D,89.0,55.0,0,1,0,0,0,0,1,1,0,0,1,0
PROP200184,12.0,Good,1961.0,D,87.0,75.0,0,0,0,0,0,1,0,1,0,0,0,0
PROP200185,1.0,Good,1021.0,F,98.0,85.0,0,1,0,0,0,0,0,0,1,0,1,0
PROP200186,1.0,New,3207.0,C,87.0,60.0,0,0,0,1,1,0,0,0,0,0,1,0
PROP200187,24.0,Needs Renovation,2881.0,A,75.0,40.0,0,1,0,0,0,0,0,1,0,1,1,1
PROP200188,,Needs Renovation,4386.0,B,57.0,72.0,0,0,0,0,0,0,0,1,1,0,1,1
PROP200189,4.0,Old,784.0,A,45.0,75.0,0,1,0,1,0,0,1,0,0,0,0,0
PROP200190,,Good,1387.0,D,,77.0,0,1,1,0,0,0,0,0,0,0,0,0
PROP200191,18.0,New,1113.0,C,72.0,32.0,0,1,0,0,0,1,0,1,1,0,1,0
PROP200192,26.0,New,1464.0,F,50.0,63.0,0,0,0,1,0,0,0,0,0,0,0,1
PROP200193,16.0,New,1274.0,A,,55.0,1,0,1,0,0,0,0,1,0,1,0,0
PROP200194,2.0,Old,3042.0,A,50.0,45.0,1,0,0,1,1,0,0,0,1,0,0,1
PROP200195,30.0,New,1743.0,D,79.0,33.0,0,0,0,0,0,1,1,1,1,0,0,0
PROP200196,18.0,New,2219.0,D,94.0,87.0,0,0,0,1,1,0,0,0,0,1,1,1
PROP200197,17.0,Needs Renovation,2069.0,E,47.0,,0,1,1,0,0,0,0,1,0,1,0,0
PROP200198,38.0,Good,2440.0,C,50.0,73.0,1,1,0,0,1,1,0,0,0,0,0,0
PROP200199,24.0,New,545.0,C,95.0,83.0,0,0,1,0,0,0,0,0,1,0,1,0
PROP200200,27.0,Old,2645.0,F,60.0,31.0,0,1,1,0,1,0,0,0,0,0,1,0
PROP200201,22.0,New,0.0,C,97.0,,0,0,1,0,1,1,0,1,0,0,1,0
PROP200202,18.0,Old,3204.0,F,,78.0,0,0,0,0,1,0,0,1,0,1,0,1
PROP200203,14.0,New,3238.0,F,51.0,55.0,0,1,0,0,1,1,0,0,0,0,0,0
PROP200204,3.0,Good,2945.0,E,46.0,,0,0,0,1,1,0,0,0,0,1,1,0
PROP200205,39.0,Good,781.0,D,79.0,80.0,0,0,0,0,0,0,1,0,0,1,0,0
PROP200206,27.0,Old,0.0,E,43.0,82.0,0,0,1,0,1,1,0,0,0,1,0,1
PROP200207,33.0,Old,2412.0,D,75.0,37.0,0,0,0,0,0,0,0,0,1,0,0,1
PROP200208,32.0,New,2862.0,B,54.0,72.0,0,0,0,1,0,1,0,1,1,0,0,0
PROP200209,17.0,Needs Renovation,2174.0,E,,40.0,1,0,1,1,0,0,1,0,0,0,0,1
PROP200210,20.0,Old,780.0,B,40.0,80.0,1,1,0,0,0,1,0,0,1,0,0,1
PROP200211,0.0,Good,2612.0,C,96.0,33.0,0,0,0,1,1,0,0,0,0,0,0,1
PROP200212,37.0,Needs Renovation,2260.0,C,45.0,97.0,0,0,0,1,0,0,1,1,0,0,0,1
PROP200213,9.0,Old,3811.0,E,42.0,,0,0,1,0,1,1,0,0,0,0,0,0
PROP200214,2.0,Old,3600.0,B,49.0,32.0,1,0,0,1,0,0,1,1,1,0,0,0
PROP200215,,Old,3895.0,A,53.0,74.0,0,0,0,1,0,1,0,1,1,0,0,0
PROP200216,24.0,New,3323.0,C,90.0,86.0,0,0,0,0,0,0,1,1,0,0,0,0
PROP200217,10.0,Old,3361.0,E,94.0,64.0,0,0,0,0,1,0,1,1,0,0,0,1
PROP200218,31.0,Old,2552.0,E,58.0,41.0,0,0,0,1,0,0,1,0,1,1,0,0
PROP200219,29.0,Old,2405.0,A,41.0,42.0,0,1,0,0,0,0,0,0,1,0,0,0
PROP200220,15.0,Good,2621.0,D,79.0,75.0,1,1,0,0,0,0,1,0,0,1,0,1
PROP200221,39.0,Old,2933.0,F,68.0,69.0,0,0,0,0,1,1,0,0,0,0,0,0
PROP200222,15.0,New,2480.0,D,52.0,66.0,0,1,0,0,1,0,0,0,1,0,1,0
PROP200223,16.0,Old,4038.0,A,77.0,50.0,0,0,0,1,0,1,0,1,0,0,0,1
PROP200224,19.0,Needs Renovation,2522.0,D,85.0,52.0,0,0,1,0,0,0,0,0,0,1,0,0
PROP200225,30.0,Good,2480.0,D,71.0,48.0,0,1,0,1,0,0,1,1,0,0,0,1
PROP200226,27.0,Good,2636.0,D,84.0,82.0,0,0,0,0,1,0,1,0,0,0,0,0
PROP200227,15.0,Old,2427.0,B,89.0,83.0,0,0,0,0,0,1,1,0,1,1,0,0
PROP200228,30.0,Needs Renovation,628.0,F,85.0,55.0,0,0,0,0,1,0,0,1,0,1,1,0
PROP200229,9.0,Old,259.0,B,63.0,68.0,1,0,0,0,1,0,0,1,0,1,1,0
PROP200230,31.0,New,3260.0,B,67.0,48.0,0,1,0,1,0,1,0,0,1,0,0,0
PROP200231,14.0,New,1820.0,D,72.0,55.0,0,1,0,0,0,0,0,0,0,0,0,1
PROP200232,30.0,Good,2579.0,D,53.0,67.0,0,0,0,0,0,0,0,0,0,1,1,1
PROP200233,30.0,Good,2835.0,F,73.0,58.0,0,1,0,1,1,0,0,0,1,0,0,0
PROP200234,27.0,New,3320.0,C,50.0,49.0,0,0,0,0,1,0,0,1,0,0,0,0
PROP200235,31.0,Good,2141.0,B,,,0,0,1,0,0,0,0,0,1,1,1,1
PROP200236,21.0,Needs Renovation,1933.0,B,,58.0,1,1,0,0,0,0,1,0,1,0,0,0
PROP200237,0.0,Good,2227.0,C,,45.0,0,1,0,0,0,0,0,1,1,0,0,0
PROP200238,0.0,Good,3016.0,D,93.0,40.0,0,0,0,1,0,0,0,0,0,1,1,1
PROP200239,23.0,Old,2313.0,B,46.0,89.0,0,0,0,1,1,0,0,0,0,1,1,1
PROP200240,37.0,Old,1962.0,F,40.0,53.0,0,1,0,0,1,1,0,0,0,0,0,0
PROP200241,35.0,Old,4583.0,B,69.0,61.0,0,0,0,0,0,0,0,0,0,0,1,1
PROP200242,,Good,3043.0,E,,74.0,0,1,1,0,0,0,0,0,1,0,0,0
PROP200243,9.0,Good,4011.0,C,88.0,52.0,0,0,1,0,1,0,1,0,0,0,1,0
PROP200244,39.0,Good,3024.0,D,99.0,90.0,0,0,0,0,0,1,0,0,0,1,0,0
PROP200245,35.0,Good,1459.0,F,63.0,,0,1,0,0,0,0,1,0,1,0,0,0
PROP200246,,Needs Renovation,192.0,D,61.0,88.0,0,0,0,0,1,0,1,0,1,0,0,0
PROP200247,7.0,New,3775.0,F,95.0,73.0,1,1,0,1,0,0,1,0,0,1,0,0
PROP200248,18.0,New,0.0,B,,62.0,0,0,1,0,1,1,0,0,0,0,0,0
PROP200249,11.0,Good,1369.0,F,92.0,65.0,0,1,0,0,0,0,0,0,0,1,0,0
PROP200250,23.0,Good,1615.0,B,99.0,87.0,0,1,0,0,1,0,0,0,0,0,1,1
PROP200251,14.0,Old,2571.0,C,95.0,77.0,1,0,1,0,0,0,0,1,0,1,0,1
PROP200252,17.0,Old,3162.0,C,94.0,60.0,0,0,1,1,0,0,1,0,1,0,0,1
PROP200253,16.0,New,592.0,D,75.0,57.0,0,0,1,0,0,0,1,1,1,0,0,0
PROP200254,20.0,Good,2324.0,C,72.0,35.0,0,1,0,0,1,0,0,0,0,0,0,0
PROP200255,19.0,Needs Renovation,2233.0,F,73.0,47.0,0,0,0,1,0,1,0,0,1,0,1,0
PROP200256,9.0,Good,2999.0,B,87.0,53.0,0,1,0,0,0,0,0,0,0,0,1,0
PROP200257,9.0,New,3779.0,D,43.0,81.0,0,0,0,0,1,0,1,0,0,0,1,0
PROP200258,,New,2480.0,B,59.0,63.0,1,0,1,1,0,0,1,0,0,0,0,0
PROP200259,26.0,New,3036.0,D,87.0,48.0,0,1,0,0,1,0,0,0,0,0,1,0
PROP200260,6.0,Old,2301.0,B,74.0,95.0,0,0,1,0,0,0,1,0,1,0,1,0
PROP200261,21.0,Good,2480.0,E,67.0,,0,1,1,0,1,1,0,0,0,0,0,1
PROP200262,5.0,Good,1106.0,B,49.0,70.0,1,1,0,0,1,0,0,0,1,1,0,0
