property_id,city,neighborhood,property_type,bedrooms,bathrooms,area_sqft,year_built,parking,furnishing,latitude,longitude,listing_price,status
PROP200016,Chennai,Indiranagar,Studio,1,4,1656,1987,Street,Unfurnished,23.659002,81.330068,16302268,Under Offer
PROP200017,Kalkata,Indiranagar,Penthouse,1,4,571,2000,Yes,Semi-Furnished,21.186271,86.48485,4603500,Sold
PROP200018,Nodia,Kothrud,Villa,3,2,862,,Covered,Semi-Furnished,17.40966,77.914556,10987125,Withdrawn
PROP200019,Bangalore,Banjara Hills,Row House,2,2,784,2008,Covered,Semi-Furnished,26.924297,78.413949,5256354,Active
PROP200020,Chennnai,DLF Phase 3,Plot,2,2,310,2005,Street,Furnished,12.900271,73.170617,15043662,Under Offer
PROP200021,Mumbay,Sector 62,Penthouse,3,3,-98,2010,Yes,Semi-Furnished,18.871842,72.964211,17129812,Under Offer
PROP200022,Jaipur,Indiranagar,Plot,1,1,1491,2017,No,Furnished,14.665488,81.74783,7617214,Withdrawn
PROP200023,Ahmedabad,Malviya Nagar,Penthouse,1,1,1085,1985,Covered,Furnished,27.176925,86.600547,3700767,Active
PROP200024,Pune,Banjara Hills,Penthouse,2,1,1058,2009,Yes,Unfurnished,18.716412,86.782134,3696614,Active
PROP200025,Noida,T Nagar,Studio,2,3,1182,1990,Street,Furnished,16.560317,75.144551,8823687,Sold
PROP200026,Mumbai,Althan,Penthouse,1,1,1127,2023,No,Unfurnished,25.994763,73.68492,10706731,Sold
PROP200027,Jaipur,Sector 62,Apartment,4,2,1316,1995,Yes,Semi-Furnished,24.608244,84.026872,10568755,Withdrawn
PROP200028,Delhi,Banjara Hills,Villa,1,1,781,2021,Street,Furnished,28.010344,85.451384,6325887,Active
PROP200029,Pune,Andheri,Studio,4,2,1945,2011,Street,Furnished,15.792714,77.124504,11103530,Under Offer
PROP200030,Nodia,Sector 62,Apartment,3,2,1235,1995,No,Semi-Furnished,13.052821,81.233652,8740617,Under Offer
PROP200031,Jaypur,Malviya Nagar,Penthouse,2,2,891,1987,Covered,Semi-Furnished,14.402996,77.810821,5726383,Active
PROP200032,Gurugrm,Kothrud,Penthouse,1,3,583,2014,No,Semi-Furnished,12.820643,80.904139,7857787,Under Offer
PROP200033,Gurgaon,Salt Lake,Villa,1,2,1306,1988,No,Unfurnished,17.684252,87.047596,8163267,Under Offer
PROP200034,Chennnai,Althan,Studio,2,2,1660,1993,No,Furnished,21.580929,83.762495,11221678,Active
PROP200035,Ahemdabad,Indiranagar,Apartment,4,2,879,2000,Yes,Semi-Furnished,22.371773,81.460308,10555362,Under Offer
PROP200036,Jaipur,T Nagar,Row House,2,3,1079,1993,No,Semi-Furnished,14.00879,86.956405,12398901,Active
PROP200037,Hyderbad,Andheri,Villa,3,2,623,2002,No,Semi-Furnished,27.701797,75.036033,13222705,Under Offer
PROP200038,Mumbai,Satellite,Plot,2,3,525,1988,Street,Unfurnished,19.747386,77.974408,15700721,Under Offer
PROP200039,Poona,Kothrud,Penthouse,3,1,2226,2024,Yes,Unfurnished,13.563442,87.680149,5765667,Sold
PROP200040,Hyderbad,DLF Phase 3,Villa,1,2,1049,1994,Street,Furnished,26.414914,81.613233,6853215,Active
PROP200041,Gurugram,Sector 62,Villa,2,2,1230,2024,Covered,Furnished,15.861883,80.671259,3661423,Withdrawn
PROP200042,Mumbai,Andheri,Apartment,2,2,1871,2011,Yes,Unfurnished,18.819622,80.4078,12530098,Under Offer
PROP200043,Bengluru,Sector 62,Plot,3,2,1327,1983,No,Semi-Furnished,23.694734,77.256406,12833703,Withdrawn
PROP200044,Chennnai,Kothrud,Villa,1,2,1712,1998,No,Unfurnished,23.383222,80.210304,4739246,Withdrawn
PROP200045,Punna,Malviya Nagar,Plot,1,2,402,1999,No,Furnished,25.936086,77.738996,8131371,Withdrawn
PROP200046,Delhi,Satellite,Apartment,3,2,1951,2008,No,Unfurnished,14.932286,78.806995,15599445,Withdrawn
PROP200047,Surat,Althan,Penthouse,1,3,1252,2009,Covered,Semi-Furnished,28.190136,87.236183,6699185,Sold
PROP200048,Jaypur,Indiranagar,Plot,2,2,1843,1995,Covered,Semi-Furnished,17.139796,84.051129,3905426,Under Offer
PROP200049,Mumbay,Andheri,Row House,4,1,1044,2012,Yes,Furnished,22.783493,78.478308,11156620,Active
PROP200050,Noida,Althan,Studio,2,3,1147,,No,Unfurnished,21.138538,73.963051,11110004,Withdrawn
PROP200051,New Delhi,Sector 62,Row House,2,1,1498,2021,No,Unfurnished,17.463123,77.302099,5414645,Under Offer
PROP200052,Mumbai,DLF Phase 3,Villa,2,2,1324,1992,Yes,Unfurnished,25.103786,73.235124,9262870,Withdrawn
PROP200053,Pune,DLF Phase 3,Plot,3,2,1256,2011,Yes,Furnished,21.074311,78.041094,8099479,Sold
PROP200054,Dehli,Althan,Studio,1,1,1675,2010,Street,Furnished,25.2609,84.651302,7048891,Sold
PROP200055,Hyderbad,Indiranagar,Row House,4,3,1306,1995,No,Semi-Furnished,25.880872,83.636924,5048776,Under Offer
PROP200056,Mumbai,T Nagar,Penthouse,3,2,1287,2011,Street,Unfurnished,27.052183,85.150999,11290362,Active
PROP200057,Gurugram,T Nagar,Plot,3,2,1418,2000,Yes,Unfurnished,25.732617,86.971806,8441635,Under Offer
PROP200058,Hyderabad,Indiranagar,Penthouse,3,1,1023,1986,No,Semi-Furnished,24.330491,85.309552,7318479,Sold
PROP200059,Surrat,DLF Phase 3,Studio,2,2,1141,1995,Yes,Furnished,27.192818,74.221502,5945087,Sold
PROP200060,Calcutta,T Nagar,Apartment,3,1,1848,2011,Covered,Furnished,19.110969,86.726781,5427542,Sold
PROP200061,Jaipur,Althan,Apartment,3,2,1018,1982,Yes,Semi-Furnished,17.153893,83.459759,8751824,Withdrawn
PROP200062,Gurugrm,Sector 62,Plot,1,2,1134,2009,Street,Unfurnished,13.172863,75.220965,9549392,Sold
PROP200063,Nodia,Kothrud,Penthouse,2,2,935,,Covered,Furnished,21.281383,76.01566,4225417,Active
PROP200064,Noida,T Nagar,Penthouse,3,1,804,1999,Covered,Unfurnished,16.512686,86.617847,6441179,Under Offer
PROP200065,Calcutta,Andheri,Studio,3,3,783,2007,Yes,Semi-Furnished,25.159078,75.07199,7008288,Active
PROP200066,Bengaluru,Althan,Studio,2,1,1736,1998,Yes,Furnished,12.906366,78.811462,9127183,Under Offer
PROP200067,Ahmedabad,Kothrud,Apartment,3,2,1788,1994,Street,Semi-Furnished,28.512737,72.531564,2086028,Withdrawn
PROP200068,Gurugrm,T Nagar,Studio,,2,667,2023,Covered,Semi-Furnished,14.019578,76.512016,5172714,Sold
PROP200069,Mumbaai,Kothrud,Row House,5,2,1502,2021,Yes,Semi-Furnished,23.634222,81.954443,15255268,Active
PROP200070,Surrat,Satellite,Plot,3,2,1526,1981,Covered,Furnished,21.879121,82.109589,5115898,Under Offer
PROP200071,Calcutta,Malviya Nagar,Studio,4,2,1683,2004,Covered,Furnished,27.550631,75.072922,4113553,Sold
PROP200072,Mumbaai,Satellite,Plot,4,2,1293,1994,Street,Furnished,19.841609,81.975629,14488818,Withdrawn
PROP200073,Jaypur,Kothrud,Villa,1,2,1736,2009,Yes,Unfurnished,13.287761,75.488098,10750758,Withdrawn
PROP200074,Chennnai,DLF Phase 3,Studio,2,1,1789,1996,Street,Semi-Furnished,17.136975,76.960783,1880341,Withdrawn
PROP200075,Kolkata,Satellite,Row House,1,1,296,2015,Street,Unfurnished,26.944786,88.345964,13272970,Under Offer
PROP200076,Nodia,Banjara Hills,Studio,2,,2257,1988,Street,Furnished,20.021189,75.687927,11571660,Under Offer
PROP200077,Ahemdabad,Salt Lake,Penthouse,2,1,1488,2002,Street,Furnished,16.931424,88.237207,3119832,Sold
PROP200078,Calcutta,Indiranagar,Villa,1,2,1641,1998,Street,Unfurnished,16.429914,78.219061,12792427,Withdrawn
PROP200079,Chennai,Banjara Hills,Villa,5,2,1985,2006,Yes,Semi-Furnished,26.622693,74.267729,11538050,Sold
PROP200080,Jaypur,DLF Phase 3,Studio,1,2,1567,1998,Street,Semi-Furnished,24.396476,81.792916,8042833,Active
PROP200081,Hyderbad,Satellite,Plot,2,,842,1994,Yes,Furnished,20.6504,83.195178,8557773,Sold
PROP200082,Hyderbad,Sector 62,Plot,2,2,1672,1989,Covered,Unfurnished,26.612611,81.015141,10310387,Active
PROP200083,New Delhi,Kothrud,Villa,3,2,1768,1996,Covered,Semi-Furnished,22.910005,73.341596,7055246,Sold
PROP200084,Ahmedabad,Banjara Hills,Row House,2,1,1177,2020,Street,Semi-Furnished,18.193131,83.677418,4182829,Withdrawn
PROP200085,Chennai,Indiranagar,Penthouse,2,3,1199,2006,Covered,Unfurnished,25.912629,81.12506,8208423,Withdrawn
PROP200086,Chennnai,Satellite,Penthouse,2,1,-151,1985,Street,Furnished,18.758023,85.55494,6370136,Withdrawn
PROP200087,Nodia,Salt Lake,Villa,2,1,1342,2003,Yes,Unfurnished,13.687379,79.97906,2559400,Under Offer
PROP200088,Chennnai,Andheri,Villa,2,,1379,2022,Covered,Furnished,25.396742,78.757701,8855193,Under Offer
PROP200089,Jaypur,Banjara Hills,Apartment,2,1,725,1983,Street,Unfurnished,13.738688,80.38338,13904372,Sold
PROP200090,Punna,Andheri,Apartment,1,2,880,1988,Street,Semi-Furnished,14.756065,72.586704,11080816,Sold
PROP200091,Chennnai,Salt Lake,Row House,4,3,1173,1999,Covered,Furnished,20.665381,74.440748,6784217,Under Offer
PROP200092,Jaipur,Banjara Hills,Apartment,2,1,724,2018,Yes,Unfurnished,25.948789,75.219621,15933604,Under Offer
PROP200093,Chennnai,Malviya Nagar,Villa,2,2,1522,1987,Yes,Semi-Furnished,15.706638,85.698696,4347853,Under Offer
PROP200094,Surat,Satellite,Penthouse,2,3,643,1980,Covered,Furnished,26.517421,82.643853,12440134,Withdrawn
PROP200095,Mumbai,Salt Lake,Apartment,3,1,1386,1990,No,Furnished,27.391913,72.887492,12972859,Sold
PROP200096,Kolkata,Sector 62,Studio,3,,746,2018,Covered,Furnished,16.335326,79.243603,9070383,Sold
PROP200097,Gurugrm,Satellite,Plot,1,1,1439,1990,No,Semi-Furnished,22.360829,88.037491,11600859,Active
PROP200098,Delhi,Althan,Plot,2,1,801,2009,Yes,Furnished,25.343231,76.241148,8392328,Withdrawn
PROP200099,Hyderabad,Satellite,Penthouse,3,3,1328,1992,Covered,Semi-Furnished,22.838694,76.787387,5075637,Active
PROP200100,Surrat,T Nagar,Apartment,1,2,1292,2001,Street,Furnished,12.893898,74.727023,10780369,Active
PROP200101,Chennnai,Sector 62,Penthouse,1,2,513,2017,Street,Unfurnished,21.828959,83.039629,5134172,Sold
PROP200102,Ahemdabad,T Nagar,Villa,1,2,1331,1995,No,Unfurnished,20.372195,73.231043,7433788,Under Offer
PROP200103,New Delhi,T Nagar,Apartment,2,2,1287,1995,Yes,Furnished,23.223707,76.382586,9112919,Active
PROP200104,Noida,T Nagar,Villa,2,1,1159,2011,Yes,Semi-Furnished,14.149236,84.465572,13045801,Under Offer
PROP200105,Hyderabad,Althan,Villa,3,1,978,2013,Yes,Furnished,25.344043,73.206377,7303970,Active
PROP200106,Chennai,Sector 62,Studio,4,2,1609,1981,Covered,Furnished,17.832077,75.917073,6414732,Withdrawn
PROP200107,Jaypur,Malviya Nagar,Plot,4,4,1092,2014,No,Furnished,17.085263,81.136129,13470806,Under Offer
PROP200108,Nodia,Satellite,Penthouse,1,2,1361,1982,No,Semi-Furnished,22.971077,74.206101,5232699,Sold
PROP200109,New Delhi,Althan,Row House,2,1,1085,1999,Yes,Semi-Furnished,23.777836,74.967919,16845707,Sold
PROP200110,Gurgaon,Sector 62,Villa,2,3,960,1989,Yes,Furnished,22.216005,83.316436,6168506,Active
PROP200111,Nodia,Kothrud,Penthouse,3,2,850,2003,No,Furnished,14.661809,75.934678,10340591,Sold
PROP200112,Bengluru,Kothrud,Apartment,4,1,1300,2015,Street,Furnished,18.065865,86.6851,2634861,Sold
PROP200113,Hyderbad,Kothrud,Villa,3,2,1025,2006,Street,Semi-Furnished,15.12965,72.792257,3460917,Withdrawn
PROP200114,Bengaluru,T Nagar,Penthouse,3,3,1109,2015,No,Unfurnished,27.773267,87.326712,8357438,Withdrawn
PROP200115,Pune,Salt Lake,Penthouse,3,3,1206,1983,Covered,Furnished,27.143504,85.923971,10572838,Withdrawn
PROP200116,Poona,Andheri,Apartment,2,1,1452,1987,Covered,Unfurnished,18.725012,74.129844,6033133,Withdrawn
PROP200117,Hydrabad,DLF Phase 3,Penthouse,1,2,339,2017,Street,Unfurnished,24.350749,77.350821,7965705,Sold
PROP200118,Surrat,Banjara Hills,Row House,4,1,819,1997,Street,Unfurnished,16.343175,85.670053,7037364,Under Offer
PROP200119,Gurugrm,Banjara Hills,Studio,1,2,1058,2018,Yes,Furnished,25.363985,88.288459,13513535,Withdrawn
PROP200120,Chennnai,Sector 62,Studio,2,1,1428,1991,No,Semi-Furnished,27.719807,79.977732,9246273,Withdrawn
PROP200121,Hydrabad,Salt Lake,Apartment,5,2,943,1996,Yes,Semi-Furnished,19.535145,75.627741,13276626,Under Offer
PROP200122,Delhi,Sector 62,Plot,1,2,755,2023,No,Furnished,16.119129,84.540877,5949002,Sold
PROP200123,Surat,Satellite,Apartment,2,4,1178,1988,Covered,Semi-Furnished,16.957907,76.832588,11087198,Under Offer
PROP200124,Gurgaon,DLF Phase 3,Villa,4,3,1063,1983,Covered,Semi-Furnished,25.3799,73.605183,7133097,Under Offer
PROP200125,Gurgaon,Kothrud,Apartment,2,2,1897,2023,Covered,Furnished,22.921532,85.948427,13473741,Active
PROP200126,Punna,Althan,Studio,1,1,1193,2010,Street,Semi-Furnished,24.375448,84.10778,6675470,Withdrawn
PROP200127,Surat,Malviya Nagar,Penthouse,1,2,1912,1985,No,Semi-Furnished,15.610736,73.082153,6286631,Active
PROP200128,Kalkata,DLF Phase 3,Studio,1,1,1444,1983,Street,Unfurnished,13.613518,78.756809,7197999,Under Offer
PROP200129,Delhi,Malviya Nagar,Studio,4,3,166,1990,No,Unfurnished,16.873736,75.752251,12435345,Active
PROP200130,Gurgaon,T Nagar,Apartment,2,3,1190,1980,Yes,Semi-Furnished,23.032735,87.906658,1500000,Sold
PROP200131,Delhi,T Nagar,Row House,2,1,1387,2007,No,Furnished,15.069,82.113618,12616871,Sold
PROP200132,Hydrabad,Sector 62,Plot,1,2,1457,1994,Covered,Semi-Furnished,15.45912,85.887141,12744524,Withdrawn
PROP200133,Surat,Kothrud,Villa,3,2,1900,2016,Street,Semi-Furnished,19.09036,79.467146,7467323,Withdrawn
PROP200134,Ahmedabad,Malviya Nagar,Plot,3,2,965,1999,No,Unfurnished,23.46249,83.979959,2126338,Under Offer
PROP200135,Kalkata,Althan,Studio,4,3,1126,1997,Yes,Unfurnished,17.596956,78.167411,12454078,Under Offer
PROP200136,Bengluru,Kothrud,Apartment,1,2,894,1999,Covered,Semi-Furnished,16.286407,78.429061,10477389,Active
PROP200137,Gurugram,Althan,Apartment,2,3,1413,2015,Covered,Furnished,27.548767,79.25467,4235304,Under Offer
PROP200138,New Delhi,Indiranagar,Penthouse,1,1,794,2017,Covered,Furnished,27.915434,78.730746,8160484,Under Offer
PROP200139,Pune,Banjara Hills,Apartment,1,2,823,2005,No,Unfurnished,18.577052,74.7526,11859482,Sold
PROP200140,Noida,Sector 62,Apartment,1,3,789,2000,Covered,Unfurnished,23.454932,83.245454,12303936,Withdrawn
PROP200141,Noida,Kothrud,Plot,1,1,1104,1986,Street,Unfurnished,18.723727,81.300319,15457225,Active
PROP200142,Jaipur,Kothrud,Row House,5,1,660,2021,Yes,Furnished,20.101669,80.389654,9164300,Sold
PROP200143,Mumbay,Kothrud,Apartment,2,2,1917,1992,Covered,Furnished,22.886017,85.079304,12086870,Active
PROP200144,Chennai,T Nagar,Penthouse,3,4,883,2022,Covered,Furnished,27.273008,74.188789,7151903,Active
PROP200145,Noida,Banjara Hills,Row House,2,2,669,2021,No,Furnished,14.224204,77.579824,8023053,Sold
PROP200146,Mumbay,Satellite,Plot,1,2,1398,2021,No,Unfurnished,16.744291,86.676406,17760368,Sold
PROP200147,Mumbaai,Satellite,Apartment,2,2,1732,2000,No,Semi-Furnished,14.944366,87.540065,16548843,Withdrawn
PROP200148,Surrat,T Nagar,Apartment,2,2,486,2006,Yes,Furnished,24.965135,82.830383,5980300,Under Offer
PROP200149,Bengaluru,Satellite,Villa,3,,1197,2020,No,Furnished,25.726995,84.182121,9579457,Active
PROP200150,New Delhi,Kothrud,Apartment,3,2,1060,1990,Street,Semi-Furnished,16.24149,77.395225,8080214,Sold
PROP200151,Chennai,Banjara Hills,Villa,3,3,467,2012,Covered,Unfurnished,27.188844,73.808943,9136415,Withdrawn
PROP200152,Chennai,T Nagar,Apartment,1,3,547,1989,Yes,Furnished,23.060019,82.554724,8319234,Withdrawn
PROP200153,Mumbai,Kothrud,Plot,2,1,1561,1986,Street,Unfurnished,25.168586,78.759961,12066811,Active
PROP200154,Calcutta,Indiranagar,Row House,2,4,989,2002,Covered,Furnished,17.979276,82.914712,9811189,Under Offer
PROP200155,Chennai,T Nagar,Studio,2,2,1114,2011,Street,Semi-Furnished,16.258788,81.538734,12071713,Withdrawn
PROP200156,Kolkata,Banjara Hills,Apartment,4,2,839,2022,Covered,Semi-Furnished,14.76743,86.665202,9072210,Withdrawn
PROP200157,Bengluru,Satellite,Villa,1,1,1163,2009,Street,Unfurnished,25.707699,77.442186,11977281,Withdrawn
PROP200158,Delhi,Sector 62,Apartment,3,3,799,1992,Covered,Unfurnished,22.187935,82.548824,7475486,Sold
PROP200159,Hyderabad,Satellite,Plot,2,1,1669,1994,No,Semi-Furnished,28.245997,73.086158,14706517,Active
PROP200160,Gurugram,Sector 62,Penthouse,3,2,1336,2014,No,Semi-Furnished,21.213414,84.909718,3010317,Under Offer
PROP200161,Bengaluru,Sector 62,Penthouse,1,,1496,1982,Covered,Unfurnished,12.829092,82.999895,11045556,Sold
PROP200162,Gurugram,Malviya Nagar,Row House,2,,1244,1988,Yes,Furnished,27.349048,76.199064,10437983,Active
PROP200163,Noida,Satellite,Villa,2,2,496,1981,No,Semi-Furnished,17.687899,78.8298,9900773,Sold
PROP200164,Kalkata,T Nagar,Villa,4,2,2299,2012,Covered,Unfurnished,19.444215,79.02654,7312868,Active
PROP200165,Mumbay,Indiranagar,Studio,1,1,796,1984,No,Unfurnished,13.894648,86.76377,11236612,Sold
PROP200166,Ahemdabad,Althan,Penthouse,3,2,1145,1990,Street,Furnished,16.470115,76.119135,9880961,Sold
PROP200167,Gurgaon,Indiranagar,Penthouse,1,1,695,2017,Yes,Semi-Furnished,19.424313,76.632422,7212853,Withdrawn
PROP200168,Bengluru,T Nagar,Villa,4,3,1124,2024,Street,Furnished,16.090273,80.690599,9755072,Active
PROP200169,Surat,Sector 62,Plot,2,3,757,1981,Yes,Unfurnished,16.248917,74.570895,6243881,Active
PROP200170,Surrat,Satellite,Villa,2,1,1354,,Covered,Furnished,22.150654,74.471019,10068465,Sold
PROP200171,Surrat,Andheri,Apartment,2,2,1850,1995,Covered,Semi-Furnished,22.73582,87.805306,12198722,Sold
PROP200172,Chennnai,DLF Phase 3,Villa,4,1,902,2012,No,Semi-Furnished,14.367235,75.636127,10115944,Active
PROP200173,Mumbay,Salt Lake,Villa,4,2,1089,1981,No,Unfurnished,18.006171,87.834141,12431455,Active
PROP200174,Chennnai,Banjara Hills,Plot,2,2,1284,1998,Yes,Furnished,25.834072,86.930854,4913826,Active
PROP200175,Mumbaai,Satellite,Row House,3,2,1069,,No,Semi-Furnished,28.666333,87.339567,8079520,Under Offer
PROP200176,Jaipur,DLF Phase 3,Penthouse,2,1,1479,1992,No,Furnished,23.019251,75.926909,9119051,Under Offer
PROP200177,Chennnai,Andheri,Plot,4,1,1820,1995,Yes,Semi-Furnished,27.695567,88.084587,5117370,Under Offer
PROP200178,Chennnai,Salt Lake,Plot,1,2,364,2015,No,Unfurnished,21.220055,88.358181,12681281,Withdrawn
PROP200179,Punna,Satellite,Studio,3,1,1717,2000,No,Unfurnished,19.526062,74.320756,8085244,Sold
PROP200180,Chennnai,Andheri,Plot,1,2,885,2009,No,Semi-Furnished,21.366146,80.085512,11088863,Under Offer
PROP200181,Hyderabad,Salt Lake,Penthouse,2,2,1059,2016,Covered,Furnished,16.280489,79.823394,3720048,Under Offer
PROP200182,Mumbai,DLF Phase 3,Apartment,3,1,666,2006,No,Furnished,15.250378,76.629492,1950438,Active
PROP200183,New Delhi,Malviya Nagar,Penthouse,1,1,1879,2003,No,Furnished,21.764125,77.47115,6773760,Active
PROP200184,Jaipur,Althan,Penthouse,2,3,1136,1995,Covered,Unfurnished,20.63558,82.336602,6475988,Sold
PROP200185,Gurgaon,Indiranagar,Villa,4,4,1433,1982,No,Furnished,28.590874,79.536361,13798536,Under Offer
PROP200186,Jaipur,Banjara Hills,Studio,3,1,1209,1999,Covered,Unfurnished,17.885988,88.131705,11200832,Active
PROP200187,Noida,Banjara Hills,Row House,2,2,1310,1986,Street,Semi-Furnished,20.768497,88.286996,16515846,Sold
PROP200188,Calcutta,Sector 62,Penthouse,1,2,1453,1995,Yes,Unfurnished,26.410094,78.409228,10267872,Withdrawn
PROP200189,Poona,Indiranagar,Studio,1,2,1787,1983,Covered,Furnished,22.593533,86.892027,17349339,Sold
PROP200190,Chennnai,Salt Lake,Villa,1,2,2035,1998,Yes,Furnished,21.830243,75.813392,11712401,Withdrawn
PROP200191,Gurgaon,Althan,Row House,2,2,1032,1999,No,Unfurnished,24.223697,87.127089,14521420,Active
PROP200192,Mumbaai,Sector 62,Studio,3,2,715,1988,Covered,Furnished,21.266407,74.479767,9275970,Under Offer
PROP200193,Ahmedabad,DLF Phase 3,Studio,2,2,1671,1990,Street,Semi-Furnished,23.362988,73.302892,6987433,Withdrawn
PROP200194,Chennai,Kothrud,Penthouse,,1,1482,2015,Yes,Semi-Furnished,20.179707,75.133609,13092882,Withdrawn
PROP200195,Ahemdabad,T Nagar,Studio,2,2,1255,2011,Yes,Unfurnished,17.210811,84.231457,7917724,Active
PROP200196,Bangalore,Malviya Nagar,Studio,4,2,1978,2002,Yes,Unfurnished,25.625846,79.125085,5631805,Withdrawn
PROP200197,Kolkata,DLF Phase 3,Apartment,2,2,649,2013,Yes,Furnished,19.837729,82.345926,6081709,Under Offer
PROP200198,Chennai,Kothrud,Penthouse,3,2,283,1983,Covered,Furnished,17.284719,81.303471,8145203,Under Offer
PROP200199,Poona,Salt Lake,Studio,1,2,1320,2009,No,Semi-Furnished,19.073386,78.115682,1500000,Under Offer
PROP200200,Calcutta,Malviya Nagar,Penthouse,3,1,1257,2011,No,Semi-Furnished,22.029676,77.418954,8955129,Sold
PROP200201,Mumbay,Sector 62,Penthouse,2,1,796,2021,No,Semi-Furnished,24.613443,74.343798,7585386,Sold
PROP200202,Noida,Salt Lake,Row House,2,2,604,2023,Street,Furnished,20.993789,77.183723,6818276,Under Offer
PROP200203,Dehli,Kothrud,Row House,2,3,853,2004,Covered,Furnished,23.39867,78.093438,8899356,Active
PROP200204,Jaypur,T Nagar,Apartment,2,2,1289,2006,Covered,Semi-Furnished,22.53216,87.694276,5848286,Sold
PROP200205,Dehli,Indiranagar,Row House,1,1,1078,2015,Street,Furnished,28.457751,84.435626,9843314,Active
PROP200206,Bangalore,Satellite,Apartment,1,2,1255,2003,Yes,Furnished,26.809262,77.001053,10486535,Under Offer
PROP200207,Mumbay,T Nagar,Villa,,3,1061,1980,Yes,Furnished,15.457915,77.139976,12246641,Active
PROP200208,Delhi,Indiranagar,Studio,1,3,1613,2000,Covered,Furnished,17.962387,84.34264,7877818,Active
PROP200209,Gurugrm,Satellite,Row House,2,1,1073,2004,Covered,Semi-Furnished,18.949396,78.382862,13675236,Sold
PROP200210,Gurugrm,Salt Lake,Plot,4,2,1022,2006,Street,Unfurnished,25.480002,79.707455,5090290,Under Offer
PROP200211,Ahemdabad,Andheri,Row House,2,2,598,2015,Covered,Unfurnished,17.18333,72.845787,9446064,Active
PROP200212,Surat,Andheri,Penthouse,1,3,1618,2006,Yes,Semi-Furnished,27.947703,72.614062,11944656,Active
PROP200213,Jaypur,Andheri,Plot,3,1,703,1990,No,Unfurnished,24.874671,80.835667,10067652,Sold
PROP200214,Bangalore,Salt Lake,Plot,2,3,461,2011,No,Unfurnished,22.194615,85.386634,11447074,Under Offer
PROP200215,Bangalore,Althan,Apartment,3,1,1605,2007,Yes,Unfurnished,27.547992,83.18105,9787565,Withdrawn
PROP200216,Mumbai,Althan,Apartment,4,1,825,2017,Street,Unfurnished,16.071586,82.923314,8301048,Under Offer
PROP200217,Kalkata,Althan,Penthouse,2,1,1480,2018,No,Furnished,28.097151,86.65788,11612191,Withdrawn
PROP200218,Hyderabad,Banjara Hills,Row House,2,2,1259,2024,Yes,Unfurnished,28.523041,84.795622,3939427,Withdrawn
PROP200219,Kalkata,Kothrud,Penthouse,3,2,849,2008,Covered,Unfurnished,16.950447,77.317056,7742253,Under Offer
PROP200220,Bengaluru,Satellite,Plot,2,3,1524,2021,Covered,Unfurnished,15.244239,81.757546,16430373,Withdrawn
PROP200221,Bangalore,Kothrud,Row House,4,3,984,1999,Yes,Unfurnished,15.921264,78.907205,12049393,Withdrawn
PROP200222,Ahemdabad,Indiranagar,Studio,2,1,2121,2022,Yes,Furnished,22.881687,85.265896,8216829,Under Offer
PROP200223,Surrat,Malviya Nagar,Row House,4,2,609,1983,No,Unfurnished,18.349672,76.303712,1672913,Withdrawn
PROP200224,Jaypur,Satellite,Studio,3,1,947,1987,Covered,Furnished,22.934538,74.475739,4510701,Active
