property_id,amenities,age_years,condition,hoa_fee,energy_rating,school_score,walk_score
PROP200036,"Garden, Power Backup",14,Old,2107,B,42,84
PROP200037,"Play Area, Pool, Lift, Wifi",38,Good,1678,E,51,49
PROP200038,"Security, CCTV",27,Old,,D,56,42
PROP200039,"Parking, Security, Power Backup, Play Area, Wifi",22,Old,2319,B,65,58
PROP200040,"Pool, Garden, Intercom, Play Area",4,New,2748,C,66,88
PROP200041,"Parking, Garden, Wifi, Pool, Club House",10,Good,1168,E,94,81
PROP200042,"CCTV, Security, Gym, Power Backup, Parking",34,Old,2711,A,96,82
PROP200043,"Play Area, Lift, Garden",10,Needs Renovation,4486,D,47,81
PROP200044,"Parking, Club House, Play Area, Power Backup",33,Old,2657,D,73,43
PROP200045,"Garden, Security, Wifi",32,New,,D,87,58
PROP200046,"Gym, Parking, Pool, Play Area",38,Old,4728,D,63,74
PROP200047,"Club House, Play Area, Wifi, Lift, Parking",12,Needs Renovation,2042,B,99,36
PROP200048,"Pool, Garden",7,Good,4032,C,60,92
PROP200049,"Wifi, Parking, CCTV, Lift",27,New,4215,F,69,59
PROP200050,"Pool, Intercom",4,Old,3790,A,43,58
PROP200051,"Security, Pool, Garden",15,New,1543,A,66,81
PROP200052,"Garden, Club House, Parking, Intercom, Gym",18,New,3030,E,76,61
PROP200053,"Play Area, Lift, Club House",39,Good,1249,C,86,94
PROP200054,"Play Area, Gym",6,New,5377,A,76,46
PROP200055,"CCTV, Gym, Parking",39,New,1406,B,60,68
PROP200056,"Pool, Parking, Play Area, Power Backup",39,Good,1943,C,59,39
PROP200057,"Lift, Pool",14,Needs Renovation,2726,B,67,76
PROP200058,"Play Area, Power Backup, Intercom, CCTV",,Good,218,F,92,88
PROP200059,"Security, Power Backup",2,Needs Renovation,3290,A,95,56
PROP200060,"Security, Intercom, Club House, Parking, Power Backup",23,Needs Renovation,2290,C,66,44
PROP200061,"Security, Pool",14,Needs Renovation,3908,F,47,68
PROP200062,"Wifi, CCTV, Lift",4,New,2351,B,62,46
PROP200063,"Play Area, CCTV",15,Needs Renovation,2933,A,69,
PROP200064,"Security, Wifi, Power Backup, Gym",4,Good,,A,51,37
PROP200065,"Parking, CCTV, Gym, Lift, Garden",37,New,1623,D,81,95
PROP200066,"Gym, Club House, Power Backup, Pool, Intercom",25,Old,4404,F,48,62
PROP200067,"Power Backup, Garden",15,Old,677,A,69,85
PROP200068,"Security, Club House, Parking",34,Needs Renovation,1066,C,70,51
PROP200069,"Intercom, Garden, Pool, Parking, Play Area",,Good,,E,75,43
PROP200070,"Lift, Parking, Pool",24,Good,272,D,56,52
PROP200071,"Club House, Gym, Parking",27,Needs Renovation,4013,B,60,89
PROP200072,"Power Backup, Play Area, Security, Club House, Wifi",8,Good,2952,F,,36
PROP200073,"Lift, Power Backup",25,Good,2912,D,88,58
PROP200074,"Pool, Club House, Intercom, Power Backup",6,New,,B,52,48
PROP200075,"Club House, Power Backup, Lift, Intercom",21,New,3188,B,,43
PROP200076,"CCTV, Gym, Parking, Club House",10,Needs Renovation,1928,F,55,93
PROP200077,"Lift, Pool",35,Good,607,C,66,66
PROP200078,"Lift, Play Area, CCTV",37,Good,2112,B,41,67
PROP200079,"Gym, Security, CCTV",5,Old,1507,C,84,
PROP200080,"Pool, Club House, Intercom",9,Needs Renovation,2482,C,61,83
PROP200081,"Lift, Security, Intercom, Power Backup, Gym",,Needs Renovation,1380,F,82,51
PROP200082,"Security, Club House, Garden, Wifi, Intercom",,Good,1763,F,,94
PROP200083,"Garden, Security, Lift, Power Backup",20,Old,2672,A,50,92
PROP200084,"Wifi, Gym, Intercom",22,Good,3539,C,73,79
PROP200085,"Intercom, Wifi",0,Good,0,E,65,88
PROP200086,"Pool, Power Backup, Garden, Club House",,Old,2137,F,87,35
PROP200087,"Garden, Play Area, CCTV",4,New,,D,71,81
PROP200088,"Power Backup, Gym, Club House, Parking, Lift",28,Good,2965,F,79,40
PROP200089,"Garden, Wifi, Power Backup",18,Needs Renovation,2242,B,50,67
PROP200090,"CCTV, Security, Lift, Pool",33,Good,1124,B,88,52
PROP200091,"Pool, Wifi, CCTV, Lift, Gym",11,Needs Renovation,2592,D,57,70
PROP200092,"Security, Gym",26,Old,3292,C,44,48
PROP200093,"Lift, Garden, CCTV",25,Good,3665,B,53,
PROP200094,"Gym, Garden",18,New,1937,D,81,58
PROP200095,"Security, Parking, Power Backup, Garden, Club House",32,Needs Renovation,538,D,84,58
PROP200096,"Play Area, Pool",23,Good,2229,A,81,62
PROP200097,"Pool, Play Area",27,Old,2830,B,70,84
PROP200098,"Wifi, Pool, Garden, Gym",6,Good,2754,C,65,82
PROP200099,"Lift, CCTV, Play Area",33,Good,1758,F,92,91
PROP200100,"Pool, Lift, Intercom, Parking, Wifi",29,New,2802,B,96,88
PROP200101,"Security, Garden, Power Backup, Intercom, Club House",31,Good,,C,48,86
PROP200102,"Intercom, Play Area, Wifi",24,New,3431,C,45,67
PROP200103,"Intercom, Pool, Wifi",37,Needs Renovation,3823,E,47,57
PROP200104,"Lift, Intercom, Wifi, Club House, Power Backup",30,New,2869,F,46,93
PROP200105,"Pool, Intercom",33,Good,1403,C,57,37
PROP200106,"Intercom, Security, Parking, Play Area, Power Backup",33,New,2199,B,59,82
PROP200107,"Gym, CCTV, Garden, Club House",36,New,2373,B,71,81
PROP200108,"CCTV, Pool",22,Old,4312,D,59,68
PROP200109,"Wifi, Lift, Gym",21,Good,2372,C,71,45
PROP200110,"Intercom, Lift, Wifi",39,Good,2806,D,81,63
PROP200111,"CCTV, Lift, Security, Wifi",31,Old,2557,D,79,71
PROP200112,"Parking, CCTV, Pool, Gym, Play Area",7,New,3397,C,54,35
PROP200113,"Club House, Play Area, Parking, Intercom, Lift",38,Good,997,B,72,40
PROP200114,"Lift, Club House, Intercom, Parking",33,Good,2740,E,90,35
PROP200115,"Gym, Wifi, Lift, Pool",24,Needs Renovation,2406,E,57,74
PROP200116,"Play Area, Lift, Intercom, Gym, Power Backup",24,Good,3791,F,96,79
PROP200117,"Gym, Garden",,Good,3290,D,68,97
PROP200118,"Garden, Club House, Play Area, Wifi",38,New,1984,F,43,34
PROP200119,"Garden, Intercom, Gym, CCTV",23,Good,3954,B,95,45
PROP200120,"CCTV, Club House, Gym, Lift",37,Old,1904,B,59,35
PROP200121,"Intercom, Security, Gym, Wifi",,Old,2280,F,51,94
PROP200122,"Club House, Power Backup, Gym, Intercom, Pool",36,Good,3449,B,81,96
PROP200123,"Garden, Parking, Intercom, Lift",1,Needs Renovation,3183,C,71,46
PROP200124,"Wifi, Gym, Lift, Pool",7,Needs Renovation,1120,D,48,77
PROP200125,"Power Backup, Club House, Intercom",31,New,3467,D,60,44
PROP200126,"Parking, CCTV, Gym",1,Good,3700,D,96,55
PROP200127,"Intercom, Wifi, CCTV",38,Needs Renovation,3162,E,41,52
PROP200128,"Pool, Parking, Wifi, Garden, Power Backup",6,New,2694,E,73,47
PROP200129,"Club House, CCTV, Power Backup",33,Good,741,E,92,72
PROP200130,"Lift, Gym",2,Needs Renovation,2600,C,44,81
PROP200131,"Play Area, Lift, Gym, Parking, CCTV",23,Good,2805,E,89,64
PROP200132,"Gym, Lift, Garden, Security",10,Needs Renovation,1783,B,54,84
PROP200133,"CCTV, Pool, Intercom",35,Good,2533,C,59,84
PROP200134,"Gym, Garden, Club House, Pool",35,Needs Renovation,1244,A,94,58
PROP200135,"Pool, Gym, CCTV, Wifi, Club House",36,Needs Renovation,3236,A,98,82
PROP200136,"Lift, Parking, Play Area, Club House, Intercom",36,Old,2431,F,59,69
PROP200137,"Play Area, Garden, Intercom, Pool, Power Backup",24,Old,4244,B,89,31
PROP200138,"Pool, Play Area, CCTV, Power Backup",14,Old,3709,E,92,44
PROP200139,"Lift, Security, Gym, Pool",26,Needs Renovation,4176,F,44,69
PROP200140,"Garden, Intercom, Security, CCTV, Lift",34,New,1448,A,83,79
PROP200141,"Gym, Play Area, Security, Wifi",27,Old,2395,E,57,87
PROP200142,"Intercom, Club House, Wifi",12,Good,1140,D,96,92
PROP200143,"Garden, Pool, CCTV",21,New,2534,F,,83
PROP200144,"Club House, Parking, Pool, Garden",35,Old,1733,F,59,92
PROP200145,"Gym, Lift, Parking, CCTV",24,Needs Renovation,1395,F,,94
PROP200146,"Gym, Lift, Wifi",20,Good,2156,D,50,72
PROP200147,"CCTV, Intercom",23,Needs Renovation,3801,B,78,52
PROP200148,"Power Backup, Pool, Security, Wifi, Play Area",17,Needs Renovation,3150,E,86,77
PROP200149,"Play Area, Gym, Security, Parking",24,Old,4220,C,76,36
PROP200150,"Pool, Security, Gym, Club House",39,Needs Renovation,2264,D,80,50
PROP200151,"Pool, Intercom, Club House, Gym, Lift",11,New,3014,B,79,
PROP200152,"Parking, Play Area, Intercom",13,New,1312,D,49,63
PROP200153,"Lift, Wifi",18,Good,2080,B,,79
PROP200154,"Wifi, Club House, Garden, Security",9,New,1665,C,58,95
PROP200155,"Club House, Wifi, Garden",,Good,1223,A,72,92
PROP200156,"Garden, Pool",33,Needs Renovation,,E,65,66
PROP200157,"Play Area, Parking, Pool, Power Backup, Wifi",5,Old,1018,A,52,73
PROP200158,"Power Backup, Intercom",18,Good,4894,B,53,72
PROP200159,"Parking, Power Backup, Play Area",29,Needs Renovation,2251,C,48,56
PROP200160,"Play Area, Intercom, Wifi, Lift, Security",28,New,,E,48,47
PROP200161,"Lift, Pool, Gym, Security, CCTV",2,Needs Renovation,3017,C,46,92
PROP200162,"Lift, Garden, Wifi",,Old,2509,B,85,68
PROP200163,"Gym, Wifi, Parking, Club House",28,New,3660,A,91,73
PROP200164,"Parking, CCTV, Power Backup, Garden, Gym",,Good,1042,B,,60
PROP200165,"Club House, CCTV, Gym, Power Backup",26,New,3137,A,73,31
PROP200166,"Club House, Gym, CCTV, Wifi, Intercom",6,Old,3277,C,94,82
PROP200167,"Play Area, Pool, Lift",,Old,1761,E,53,38
PROP200168,"Pool, Club House, Gym, Parking, Intercom",15,Needs Renovation,536,D,91,43
PROP200169,"Power Backup, Garden, Play Area",17,New,753,B,79,66
PROP200170,"Intercom, Pool",9,New,4035,E,97,86
PROP200171,"Club House, Power Backup, Gym, CCTV",29,New,2832,C,58,90
PROP200172,"Club House, Gym, Garden, Power Backup",4,Needs Renovation,3779,D,49,91
PROP200173,"Intercom, Club House, Lift, Pool, Security",8,New,3647,B,57,75
PROP200174,"Pool, Power Backup, Club House",32,Needs Renovation,1114,A,72,34
PROP200175,"Power Backup, Parking",0,Good,1574,F,95,58
PROP200176,"Pool, Garden",11,Old,1984,D,,95
PROP200177,"Intercom, Parking, Wifi, Play Area, Garden",26,Old,2786,A,,79
PROP200178,"Parking, Play Area",12,New,1809,C,67,37
PROP200179,"Garden, Intercom",11,Old,979,D,44,86
PROP200180,"CCTV, Intercom, Garden",,Old,3397,E,57,79
PROP200181,"Wifi, Lift",5,Old,2504,E,66,30
PROP200182,"Club House, Play Area, Gym, Lift",38,Old,2936,C,60,42
PROP200183,"Play Area, Parking, Security, Club House",,Needs Renovation,2604,D,89,55
PROP200184,"Lift, Play Area",12,Good,1961,D,87,75
PROP200185,"Security, Club House, Pool",1,Good,1021,F,98,85
PROP200186,"Gym, Intercom, Security",1,New,3207,C,87,60
PROP200187,"Security, Club House, Power Backup, Play Area, Wifi",24,Needs Renovation,2881,A,75,40
PROP200188,"Pool, Play Area, Security, Wifi",,Needs Renovation,4386,B,57,72
PROP200189,"Parking, Gym, Club House",4,Old,784,A,45,75
PROP200190,"Garden, Club House",,Good,1387,D,,77
PROP200191,"Club House, Security, Play Area, Pool, Lift",18,New,1113,C,72,32
PROP200192,"Wifi, Gym",26,New,1464,F,50,63
PROP200193,"Play Area, Garden, CCTV, Power Backup",16,New,1274,A,,55
PROP200194,"Intercom, Wifi, Gym, Pool, CCTV",2,Old,3042,A,50,45
PROP200195,"Pool, Lift, Parking, Play Area",30,New,1743,D,79,33
PROP200196,"Intercom, Wifi, Gym, Security, Power Backup",18,New,2219,D,94,87
PROP200197,"Club House, Garden, Power Backup, Play Area",17,Needs Renovation,2069,E,47,
PROP200198,"Lift, Intercom, Club House, CCTV",38,Good,2440,C,50,73
PROP200199,"Garden, Pool, Security",24,New,545,C,95,83
PROP200200,"Security, Club House, Garden, Intercom",27,Old,2645,F,60,31
PROP200201,"Intercom, Garden, Security, Play Area, Lift",22,New,0,C,97,
PROP200202,"Play Area, Wifi, Power Backup, Intercom",18,Old,3204,F,,78
PROP200203,"Intercom, Lift, Club House",14,New,3238,F,51,55
PROP200204,"Intercom, Power Backup, Security, Gym",3,Good,2945,E,46,
PROP200205,"Power Backup, Parking",39,Good,781,D,79,80
PROP200206,"Garden, Wifi, Power Backup, Lift, Intercom",27,Old,0,E,43,82
PROP200207,"Wifi, Pool",33,Old,2412,D,75,37
PROP200208,"Play Area, Gym, Pool, Lift",32,New,2862,B,54,72
PROP200209,"Garden, CCTV, Gym, Wifi, Parking",17,Needs Renovation,2174,E,,40
PROP200210,"Pool, Club House, Wifi, Lift, CCTV",20,Old,780,B,40,80
PROP200211,"Intercom, Gym, Wifi",0,Good,2612,C,96,33
PROP200212,"Gym, Parking, Play Area, Wifi",37,Needs Renovation,2260,C,45,97
PROP200213,"Garden, Lift, Intercom",9,Old,3811,E,42,
PROP200214,"Parking, Gym, Pool, CCTV, Play Area",2,Old,3600,B,49,32
PROP200215,"Pool, Gym, Lift, Play Area",,Old,3895,A,53,74
PROP200216,"Play Area, Parking",24,New,3323,C,90,86
PROP200217,"Intercom, Parking, Play Area, Wifi",10,Old,3361,E,94,64
PROP200218,"Power Backup, Parking, Gym, Pool",31,Old,2552,E,58,41
PROP200219,"Pool, Club House",29,Old,2405,A,41,42
PROP200220,"Parking, CCTV, Power Backup, Club House, Wifi",15,Good,2621,D,79,75
PROP200221,"Intercom, Lift",39,Old,2933,F,68,69
PROP200222,"Pool, Club House, Security, Intercom",15,New,,D,52,66
PROP200223,"Play Area, Gym, Lift, Wifi",16,Old,4038,A,77,50
PROP200224,"Garden, Power Backup",19,Needs Renovation,2522,D,85,52
PROP200225,"Wifi, Gym, Parking, Play Area, Club House",30,Good,,D,71,48
PROP200226,"Intercom, Parking",27,Good,2636,D,84,82
PROP200227,"Parking, Power Backup, Lift, Pool",15,Old,2427,B,89,83
PROP200228,"Security, Power Backup, Intercom, Play Area",30,Needs Renovation,628,F,85,55
PROP200229,"Security, CCTV, Play Area, Intercom, Power Backup",9,Old,259,B,63,68
PROP200230,"Pool, Gym, Club House, Lift",31,New,3260,B,67,48
PROP200231,"Club House, Wifi",14,New,1820,D,72,55
PROP200232,"Wifi, Power Backup, Security",30,Good,2579,D,53,67
PROP200233,"Club House, Intercom, Gym, Pool",30,Good,2835,F,73,58
PROP200234,"Intercom, Play Area",27,New,3320,C,50,49
PROP200235,"Security, Pool, Wifi, Garden, Power Backup",31,Good,2141,B,,
PROP200236,"Parking, Pool, CCTV, Club House",21,Needs Renovation,1933,B,,58
PROP200237,"Club House, Pool, Play Area",0,Good,2227,C,,45
PROP200238,"Gym, Wifi, Security, Power Backup",0,Good,3016,D,93,40
PROP200239,"Gym, Power Backup, Wifi, Intercom, Security",23,Old,2313,B,46,89
PROP200240,"Lift, Intercom, Club House",37,Old,1962,F,40,53
PROP200241,"Security, Wifi",35,Old,4583,B,69,61
PROP200242,"Garden, Pool, Club House",,Good,3043,E,,74
PROP200243,"Security, Parking, Garden, Intercom",9,Good,4011,C,88,52
PROP200244,"Lift, Power Backup",39,Good,3024,D,99,90
PROP200245,"Pool, Club House, Parking",35,Good,1459,F,63,
PROP200246,"Pool, Intercom, Parking",,Needs Renovation,192,D,61,88
PROP200247,"Power Backup, Club House, Parking, CCTV, Gym",7,New,3775,F,95,73
PROP200248,"Lift, Intercom, Garden",18,New,0,B,,62
PROP200249,"Power Backup, Club House",11,Good,1369,F,92,65
PROP200250,"Wifi, Security, Club House, Intercom",23,Good,1615,B,99,87
PROP200251,"CCTV, Wifi, Garden, Play Area, Power Backup",14,Old,2571,C,95,77
PROP200252,"Parking, Pool, Gym, Garden, Wifi",17,Old,3162,C,94,60
PROP200253,"Garden, Play Area, Parking, Pool",16,New,592,D,75,57
PROP200254,"Club House, Intercom",20,Good,2324,C,72,35
PROP200255,"Lift, Gym, Pool, Security",19,Needs Renovation,2233,F,73,47
PROP200256,"Club House, Security",9,Good,2999,B,87,53
PROP200257,"Parking, Intercom, Security",9,New,3779,D,43,81
PROP200258,"Parking, Gym, CCTV, Garden",,New,,B,59,63
PROP200259,"Club House, Security, Intercom",26,New,3036,D,87,48
PROP200260,"Parking, Pool, Garden, Security",6,Old,2301,B,74,95
PROP200261,"Club House, Wifi, Lift, Intercom, Garden",21,Good,,E,67,
PROP200262,"Intercom, Club House, Pool, CCTV, Power Backup",5,Good,1106,B,49,70
PROP200263,"Lift, Garden",36,Good,4446,D,46,60
PROP200264,"Pool, Parking",39,New,1183,D,70,56
PROP200265,"Club House, Parking, CCTV",14,New,4552,D,63,35
PROP200266,"Lift, Power Backup, Club House, Security",5,Old,1102,F,82,46
PROP200267,"Garden, CCTV, Power Backup, Club House, Parking",8,Needs Renovation,4145,E,,47
PROP200268,"Pool, Security, Parking, Play Area, Club House",38,New,1502,A,43,44
PROP200269,"Club House, Wifi, Power Backup, Security",16,Old,2411,A,83,45
PROP200270,"Lift, Club House, Gym, Power Backup, Garden",4,New,2216,A,89,51
PROP200271,"Pool, Security, Garden",17,Needs Renovation,1486,D,48,96
PROP200272,"Intercom, Club House, Lift, Security, CCTV",1,Good,5372,C,95,40
PROP200273,"Garden, Power Backup, Wifi",10,Needs Renovation,1734,C,73,79
PROP200274,"Garden, CCTV, Lift, Parking, Intercom",26,Good,2244,F,73,54
PROP200275,"Garden, CCTV, Security, Power Backup, Parking",10,Good,3230,D,89,60
PROP200276,"Pool, Power Backup, Intercom",6,Needs Renovation,1149,A,54,56
PROP200277,"Pool, Lift, Security, Garden",27,Old,3523,F,59,96
PROP200278,"Pool, Play Area",0,Old,2195,E,44,85
PROP200279,"Pool, Wifi, CCTV, Play Area",39,Good,,D,91,97
PROP200280,"Lift, Wifi, Parking",,Good,1985,F,83,52
PROP200281,"Pool, Lift, Club House, Power Backup",35,Good,2253,B,,87
PROP200282,"Parking, Lift, CCTV",37,New,2351,B,79,44
PROP200283,"Intercom, Garden, Security",15,Old,200,C,68,
PROP200284,"Lift, Wifi",38,Old,1813,D,80,49
PROP200285,"Intercom, Club House, Gym, Garden",12,Old,3435,B,95,75
PROP200286,"CCTV, Lift, Pool, Club House, Power Backup",20,New,1845,E,41,44
PROP200287,"CCTV, Play Area, Power Backup, Garden, Parking",27,New,2213,F,81,96
PROP200288,"Pool, Wifi, Intercom, Power Backup",39,Needs Renovation,2497,B,98,55
PROP200289,"CCTV, Security",19,Old,1046,B,83,50
PROP200290,"Club House, Power Backup, Wifi",21,New,3744,C,75,45
PROP200291,"Garden, Club House, Security, Wifi, Parking",38,Needs Renovation,4057,D,43,39
PROP200292,"Pool, Power Backup, Intercom, Security",29,New,2064,A,47,96
PROP200293,"Parking, Power Backup, Lift, Intercom, Wifi",23,Good,1885,F,68,54
PROP200294,"Intercom, Power Backup",4,Old,0,F,88,60
PROP200295,"CCTV, Pool, Wifi",6,Old,728,A,98,90
PROP200296,"Play Area, Gym",17,Good,3593,F,57,45
PROP200297,"Play Area, Lift, Wifi, Gym",20,Needs Renovation,1096,B,87,44
PROP200298,"Security, CCTV",36,Old,5174,B,55,58
PROP200299,"Intercom, Security",39,Old,1828,E,45,40
PROP200300,"Gym, Club House, Lift",,Needs Renovation,3887,F,78,51
PROP200301,"Gym, Play Area",37,Old,4780,E,59,99
PROP200302,"Gym, CCTV, Intercom, Club House",32,Old,2136,C,72,75
PROP200303,"CCTV, Parking, Security",,Old,2809,A,,85
PROP200304,"CCTV, Security, Club House, Gym",,New,2166,D,70,76
PROP200305,"Gym, Play Area, Pool, Intercom",14,Needs Renovation,1654,A,96,57
PROP200306,"Security, Wifi",28,Old,1900,C,90,41
PROP200307,"Club House, Pool, Power Backup",28,Old,1828,E,71,31
PROP200308,"Lift, Pool, Wifi, Gym",36,Old,,E,91,92
PROP200309,"Power Backup, Security, Parking",35,New,1310,B,85,61
PROP200310,"Play Area, CCTV, Intercom, Parking, Gym",16,Good,2885,B,41,
PROP200311,"CCTV, Gym, Intercom",3,Needs Renovation,2174,B,80,65
PROP200312,"Garden, Club House",,Needs Renovation,3831,D,48,88
PROP200313,"Club House, Security, Parking, Intercom, Garden",30,New,1718,A,70,50
PROP200314,"Parking, Club House, Security, Intercom",24,Old,3487,C,74,
PROP200315,"Garden, Club House, CCTV",17,Old,2364,A,83,55
PROP200316,"Pool, Gym",16,Old,2572,D,40,52
PROP200317,"Pool, Wifi, Parking, Garden, CCTV",9,Good,1090,E,62,89
PROP200318,"Gym, Parking, Pool, Club House",33,Old,3435,C,69,72
PROP200319,"Power Backup, Parking",32,Old,2235,E,43,92
PROP200320,"Play Area, Gym, Intercom, Garden, Pool",37,Needs Renovation,3038,F,86,
PROP200321,"Club House, Lift, Play Area",25,New,2555,F,88,47
PROP200322,"Pool, Power Backup, Club House",38,New,1564,F,41,62
PROP200323,"Lift, Club House, Garden",26,Needs Renovation,3504,B,89,97
PROP200324,"CCTV, Power Backup, Intercom, Pool",23,Good,4730,C,49,47
PROP200325,"Wifi, Pool",10,New,4634,F,77,31
PROP200326,"Play Area, Wifi",,Good,1782,A,76,65
PROP200327,"Pool, Club House, CCTV",17,Good,644,D,71,76
PROP200328,"Security, CCTV, Pool, Parking, Play Area",11,Old,2832,D,97,
PROP200329,"Lift, Garden, Intercom",1,Good,4415,C,79,54
PROP200330,"Security, CCTV",11,Good,1800,A,44,33
PROP200331,"Garden, CCTV",4,New,2693,D,54,38
PROP200332,"Intercom, Club House, CCTV, Power Backup",28,Good,3008,D,83,48
PROP200333,"Security, Lift, Club House, Pool, Play Area",21,Good,,A,62,59
PROP200334,"Wifi, Club House",30,Old,2300,E,68,76
PROP200335,"Security, Gym, Play Area, Parking, Club House",27,New,3616,C,73,33
PROP200336,"Club House, Play Area",17,Good,1934,D,70,38
PROP200337,"Gym, Parking, Club House",38,Old,2109,E,76,97
PROP200338,"Pool, Play Area, Security, Gym",2,Old,1492,A,67,89
PROP200339,"Security, Lift",35,New,2013,E,53,88
PROP200340,"Club House, Lift, Wifi, Pool, Gym",,Needs Renovation,1071,A,46,34
PROP200341,"Garden, Parking",16,Needs Renovation,2212,D,69,55
PROP200342,"Gym, Club House, Wifi, Lift",24,Good,2925,C,73,30
PROP200343,"Pool, Security",1,Needs Renovation,4327,B,97,93
PROP200344,"Garden, Play Area, Intercom",,Needs Renovation,2930,F,88,81
PROP200345,"Lift, Play Area, Wifi",15,Needs Renovation,4349,D,45,50
PROP200346,"Parking, Security",20,New,2938,B,40,92
PROP200347,"Intercom, Play Area",11,Needs Renovation,2610,D,42,67
PROP200348,"Security, Parking",,Needs Renovation,0,C,40,91
PROP200349,"Club House, Play Area, Gym, CCTV, Power Backup",35,Old,3097,F,84,94
PROP200350,"Intercom, Pool, Garden",22,Needs Renovation,2264,C,41,40
PROP200351,"Play Area, Security, Lift, CCTV, Wifi",22,New,1009,E,66,92
PROP200352,"Lift, CCTV, Wifi, Pool",33,Good,3145,A,70,48
PROP200353,"CCTV, Club House, Wifi",13,Old,2824,F,68,66
PROP200354,"Power Backup, CCTV",15,Good,3100,D,44,73
PROP200355,"Intercom, Pool, Power Backup, Lift, Wifi",16,New,3643,E,60,95
PROP200356,"Parking, Wifi, Gym",19,Good,2784,E,53,38
PROP200357,"Lift, Intercom, Security, Garden, Parking",16,Needs Renovation,3339,F,78,77
PROP200358,"CCTV, Pool, Gym, Wifi, Security",38,Good,4170,D,99,43
PROP200359,"Play Area, Parking, Intercom",34,Old,2999,D,63,40
PROP200360,"Security, Wifi, Lift, CCTV, Club House",23,Needs Renovation,3315,C,89,62
PROP200361,"Parking, Wifi, CCTV, Club House, Power Backup",20,New,2150,D,68,46
PROP200362,"Lift, Pool, CCTV, Club House",1,New,940,D,53,47
PROP200363,"Security, Intercom, Pool, Parking, CCTV",27,Needs Renovation,2899,A,95,74
PROP200364,"Security, Power Backup",7,Needs Renovation,3537,F,48,92
PROP200365,"Wifi, Security, Parking, Play Area, CCTV",4,Good,1460,F,80,46
PROP200366,"Security, CCTV, Intercom, Club House, Wifi",39,New,2479,D,57,98
PROP200367,"Club House, Intercom, Play Area, CCTV, Garden",29,Good,983,B,76,93
PROP200368,"Play Area, Wifi",29,Good,2735,C,91,30
PROP200369,"Security, Parking, Lift",32,New,1279,A,51,93
PROP200370,"Security, Gym, Garden, Club House, Parking",22,New,0,A,88,32
PROP200371,"Lift, Power Backup, Parking",7,Good,1249,B,91,37
PROP200372,"Club House, Power Backup, Lift",7,Old,1184,B,91,97
PROP200373,"Wifi, Gym",32,Needs Renovation,4723,E,86,77
PROP200374,"Lift, Pool, CCTV, Wifi, Garden",32,Good,3362,E,75,
PROP200375,"Power Backup, Club House, Pool, Garden",25,Good,2188,A,48,94
PROP200376,"Gym, Play Area",15,Good,2883,B,41,87
